"","GO_Pt1_Baseline","GO_Pt1_C1D1","GO_Pt1_C1D3","GO_Pt1_C1D7","GO_Pt1_C2D1","GO_Pt1_C3D1","GO_Pt1_Final","GO_Pt11_Baseline","GO_Pt11_C1D3","GO_Pt11_C1D7","GO_Pt11_C2D1","GO_Pt12_Baseline","GO_Pt12_C1D1","GO_Pt12_C1D3","GO_Pt12_C1D7","GO_Pt12_C2D1","GO_Pt12_C3D1","GO_Pt13_Baseline","GO_Pt13_C1D1","GO_Pt13_C1D3","GO_Pt13_C1D7","GO_Pt13_C2D1","GO_Pt13_C3D1","GO_Pt14_Baseline","GO_Pt14_C1D1","GO_Pt14_C1D3","GO_Pt14_C2D1","GO_Pt14_C3D1","GO_Pt14_Final","GO_Pt15_Baseline","GO_Pt15_C1D1","GO_Pt15_C1D3","GO_Pt15_C1D7","GO_Pt15_C2D1","GO_Pt16_Baseline","GO_Pt16_C1D1","GO_Pt17_Baseline","GO_Pt17_C1D1","GO_Pt17_C1D7","GO_Pt17_C2D1","GO_Pt17_C3D1","GO_Pt17_Final","GO_Pt18_Baseline","GO_Pt18_C1D1","GO_Pt18_C1D3","GO_Pt18_C1D7","GO_Pt18_C2D1","GO_Pt18_C3D1","GO_Pt18_Final","GO_Pt19_Baseline","GO_Pt19_C1D1","GO_Pt19_C1D3","GO_Pt19_C1D7","GO_Pt19_C2D1","GO_Pt19_C3D1","GO_Pt2_Baseline","GO_Pt2_C1D1","GO_Pt2_C1D3","GO_Pt2_C1D7","GO_Pt2_C2D1","GO_Pt2_C3D1","GO_Pt20_Baseline","GO_Pt20_C1D1","GO_Pt20_C1D3","GO_Pt20_C1D7","GO_Pt20_C2D1","GO_Pt20_C3D1","GO_Pt21_Baseline","GO_Pt21_C1D1","GO_Pt21_C1D3","GO_Pt21_C1D7","GO_Pt22_Baseline","GO_Pt22_C1D1","GO_Pt22_C1D3","GO_Pt22_C1D7","GO_Pt22_C2D1","GO_Pt23_Baseline","GO_Pt23_C1D1","GO_Pt23_C1D3","GO_Pt23_C1D7","GO_Pt23_C2D1","GO_Pt23_C3D1","GO_Pt24_Baseline","GO_Pt24_C1D1","GO_Pt25_Baseline","GO_Pt25_C1D1","GO_Pt25_C1D3","GO_Pt25_C2D1","GO_Pt25_C3D1","GO_Pt25_Final","GO_Pt29_Baseline","GO_Pt29_C1D1","GO_Pt29_C1D3","GO_Pt29_C2D1","GO_Pt29_C3D1","GO_Pt30_Baseline","GO_Pt30_C1D1","GO_Pt30_C1D3","GO_Pt30_C3D1","GO_Pt31_Baseline","GO_Pt31_C1D1","GO_Pt31_C1D3","GO_Pt31_C1D7","GO_Pt31_C2D1","GO_Pt31_C3D1","GO_Pt31_Final","GO_Pt32_Baseline","GO_Pt32_C1D1","GO_Pt32_C1D3","GO_Pt32_C1D7","GO_Pt32_C2D1","GO_Pt33_Baseline","GO_Pt33_C1D1","GO_Pt33_C1D3","GO_Pt33_C1D7","GO_Pt33_C2D1","GO_Pt33_Final","GO_Pt34_Baseline","GO_Pt34_C1D1","GO_Pt34_C1D3","GO_Pt35_Baseline","GO_Pt35_C1D1","GO_Pt35_C1D3","GO_Pt35_C1D7","GO_Pt35_C2D1","GO_Pt35_C3D1","GO_Pt35_Final","GO_Pt38_Baseline","GO_Pt38_C1D1","GO_Pt38_C1D3","GO_Pt38_C1D7","GO_Pt38_C2D1","GO_Pt38_C3D1","GO_Pt38_Final","GO_Pt39_Baseline","GO_Pt4_Baseline","GO_Pt4_C1D1","GO_Pt4_C1D3","GO_Pt4_C1D7","GO_Pt4_C2D1","GO_Pt4_C3D1","GO_Pt40_Baseline","GO_Pt40_C1D3","GO_Pt40_C1D7","GO_Pt40_C2D1","GO_Pt42_Baseline","GO_Pt42_C1D1","GO_Pt42_C1D3","GO_Pt42_C1D7","GO_Pt42_C2D1","GO_Pt42_C3D1","GO_Pt42_Final","GO_Pt43_Baseline","GO_Pt43_C1D1","GO_Pt43_C1D3","GO_Pt43_C1D7","GO_Pt43_C2D1","GO_Pt43_C3D1","GO_Pt43_Final","GO_Pt44_Baseline","GO_Pt44_C1D1","GO_Pt44_C1D3","GO_Pt44_C1D7","GO_Pt44_C2D1","GO_Pt45_Baseline","GO_Pt45_C1D1","GO_Pt45_C1D3","GO_Pt45_C1D7","GO_Pt45_C2D1","GO_Pt45_C3D1","GO_Pt45_Final","GO_Pt47_Baseline","GO_Pt47_C1D1","GO_Pt47_C1D3","GO_Pt47_C1D7","GO_Pt47_C2D1","GO_Pt50_Baseline","GO_Pt50_C1D1","GO_Pt50_C1D3","GO_Pt50_C1D7","GO_Pt50_C2D1","GO_Pt50_C3D1","GO_Pt50_Final","GO_Pt51_Baseline","GO_Pt51_C1D1","GO_Pt51_C1D3","GO_Pt51_C1D7","GO_Pt51_C2D1","GO_Pt51_C3D1","GO_Pt51_Final","GO_Pt52_Baseline","GO_Pt52_C1D1","GO_Pt52_C1D3","GO_Pt52_C1D7","GO_Pt52_C2D1","GO_Pt52_C3D1","GO_Pt52_Final","GO_Pt53_Baseline","GO_Pt53_C1D1","GO_Pt53_C1D3","GO_Pt53_C1D7","GO_Pt53_C2D1","GO_Pt54_Baseline","GO_Pt54_C1D1","GO_Pt54_C1D3","GO_Pt54_C1D7","GO_Pt54_C2D1","GO_Pt54_C3D1","GO_Pt54_Final","GO_Pt6_C1D1","GO_Pt6_C1D3","GO_Pt6_C1D7","GO_Pt6_C2D1","GO_Pt6_C3D1","GO_Pt7_Baseline","GO_Pt7_C1D1","GO_Pt7_C1D3","GO_Pt7_C1D7","GO_Pt7_C2D1","GO_Pt9b_Baseline","GO_Pt9b_C1D1","GO_Pt9b_C1D3","GO_Pt9b_C2D1","GO_Pt9b_C3D1","GO_Pt9c_C1D3"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08649,0.00539,0.01419,0.01343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_agalactiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01401,0,0.03367,0,0.0079,0,0,0,0,0,0,0,0,0,0.2095,0,0,0.05175,0.00811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus",0.00381,0.0795,0.0109,0.00537,0.01419,0.01308,0.07024,0,0,0.00031,0,0,0,0,0,0,0.00566,0,0,0,0,0,0,0.00458,0.00135,0,0,0,0.00778,0,0,0,0,0,0.00495,0.02926,0,0,0,0,0,0.01136,0,0,0,0,0,0,0,0.02651,0,0.05082,0.02263,0.07731,0.02274,0.00458,0.15492,0.03759,1.10674,7.598,0.40423,0,0,0,0,0,0,0,0,0,0,0,0.00216,0,0,0.05182,0.04283,0.00446,0,0,0,0,0,0,0,0,0,0,0,0,0.02413,0.04904,0.00282,0.00642,0.03251,0.00707,0.00381,0.00087,7e-04,0.00269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189,0,0,0,0,0,0.00086,0.00604,0,0,0,0,0.67521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00412,0,0,0,0,0,0,0,0.0223,0.0226,0.0158,0.05143,0.03032,0,0,0,0,0,0,0,0.00332,0.00593,0.00936,0.00937,0.0093,0.00229,0.00661,0,0,0.00121,0.00318,0,0.00226,0.0097,0,0,0,0,0,0,0.00316,0.003,0.09194,0,0,0,0,0,0,0.00217,0,0,0.0481,0,0,0.00591,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_constellatus",0,0,0,0,0,0,0,0,0,0,0.00146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00407,0,0,0,0,0,0.00178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03526,0.00174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00334,0.10813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00695,0,0,0,0,0,0.00957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus",0,0,0,0,0,0,0,0,0,7e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00354,0.27938,0,0,0,0,0,0.01481,0,0,0.00066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00909,0.06391,0.02734,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519,0.0056,0.00376,0.00106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237,0.00249,0,0,0,0.00574,0.00124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102,0,0,0,0,0.00032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gallolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36149,0.16716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05285,1.41004,4.62893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.18925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii",0,0,0,0.00469,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0,0.00228,0.00255,0.00114,0,0,0,0,0,0,0,0.00088,0,0,0,0,0,0.00822,0.38042,0,0,0,0,0,0.02399,0,0,0,0,0,0,0,0.01631,0,0.03125,0.00999,0.00712,0.01137,0.01174,0.1072,0,0.23787,1.20037,0.35966,0,0,0,0,0,0,0,0,0,0,0,0,0.00258,0.06597,0,0,0,0.00015,0,0,0,0.00247,8e-05,0,0,0,0,0.00024,0.00023,0.49852,0.62306,0.12511,0.26749,0.3645,0,0,0,0,0.09109,0.01127,0.00379,0,0,0,0,0,0,0,0,0,0,0.0054,0.10874,0.07847,0.00443,0,0,0.00544,0,0,0,0,0,0,0,0,0,0,0.00082,0,0,0.00078,0,0.00337,0,0,0,0.04525,0.06244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012,0,0,0,0,0,0,0,0.00089,0.00227,9e-05,0.0029,0.0021,0,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00495,0.00173,0,0.00137,0.0026,0.00734,0.00879,0,0,0,0,0,0,0,0.03385,0.18,0,0.00493,0.04999,0.00263,0,0.00019,0.00273,0,0,0,0,0,0,0,0,0.00585,0.00081,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis",0,0,0,0,0,0,0,0.00334,0.00891,0.00885,0.02908,0,0,0.00155,0,0,0.02162,0.00069,0.002,0.00284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02589,0.93089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066,0,0.01754,0.02283,0.00425,0,0,0,0,0,0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08555,0,0,0,0.00478,0,0,0,0.00394,0,0,0,0,0,0,0.00047,0.00266,0.00173,0,0.00215,0.00752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00833,0.00593,0,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.00162,0,0,0,0,0.01765,0,0,0,0.00914,0,0,0,0,0.0017,0,0,0.00505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062,0.00024,0,0.00202,0,0.00079,0,0,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00922,0,0,0,0,0,0,0,0.0049,0,6e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054,0.00312,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_intermedius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129,0.01167,0.00711,0,0,0,0,0,0,0,0,0,0,0.00201,0.00126,0,0.00575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00358,0.00944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_lutetiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25103,2.02661,0,0,0,0,0,0,4.35075,5.47778,2.34797,7.14341,10.57366,16.69568,1.57172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03545,0,0,0.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26489,0.10085,0,0.26652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis",0,0,0,0,0,0,0,0.00475,0.0205,0.03818,0.02049,0.00092,0.0062,0,0,0.01193,0.01982,0.00805,0.01072,0.00113,0.00183,0.00759,0.00458,0,0,0,0.00104,0,0.00212,0,0,0,0,0,0.00701,0.47517,0,0,0,0,0,0.00271,0,0,0,0,0,0,0,0.01481,0,0.03348,0.00418,0.00416,0,0.00756,0.00368,0.0035,0.05614,0.0919,0.01649,0,0.00133,0,0.02138,0,0,0,0,0,0,0,0,0,0.2187,0,0,0.00282,0.00287,0,0.00281,0,0,0,0,0,0,0,0,0.00061,0.02062,0.03807,0.00484,0.00445,0.00296,0,0,0,0.00085,0.00048,0.00045,0.00094,0,0,0,0,0,0.00091,0.0039,0.02286,0.00427,0.00249,0.01038,0.00218,0.00085,0.00311,0,0.00207,0,0.0023,0,0,0,0.00334,0.00099,0,0,0,0,0,0,0,0,0,0.00282,0.00584,0,0,0.04597,0.00132,0.0051,0,0,0,0,0,0,0,0,0,0,0,0,0.00019,0,0.00051,0.00096,0,0.03436,0,0,0,0,0,0,0,0.01981,0.00219,0,0.02871,0.00726,0,0.00436,0,0.00608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00946,0.00195,0,0,0.00124,0.00985,0.05098,0,0,0,0,0,0,0.00626,0.00576,0,0,0,0.02145,0,0,0,0.02228,0.0084,0,0,0,0,0,0.00015,0,0.00113,0.00018,0,0.0018
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans",0.00817,0.0093,0.03694,0.09331,0.03028,0.0361,0.07517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01184,0.00915,0.05617,0,0.00249,0,0,0.00177,0.15743,0,0,0,0,0,0,0,0.00149,0,0.01366,0.0049,0.0122,0,0,0.05165,0.05545,0.28848,0.17628,0.02679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068,0,0,0,0,0,0,0,0.00135,0,0,0,0,0,0,0,0.00426,0.00355,0.00148,0,0,0,0,0,0.00095,0.39225,0.08723,0.04823,0.00039,0.00099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00353,0.00231,0.00446,0.03852,0.04335,0,0.00234,0.00656,0,0.06473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103,0.01405,0.00252,0.09049,0.1015,0,0.00017,0,0,0,0,0,0.1332,0.02373,0.01269,0.03285,0.03289,0.00292,0.00117,0.00464,0,0.00073,0.00241,0,0,0,0.00261,0.00019,0,0,0.0054,0.00998,0.00516,0.00638,0.05974,0.01993,0.08299,0.19158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121,0,0,0,0,0,0,0.37393,0,0,0,0,0,0.01725,0,0,0,0,0,0,0,0.00145,0,0.00518,0,0,0,0,0.00135,0.00175,0.05969,0.26329,0.03101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03058,0,0,0.00228,0,0,0,0,0.00056,0,0,0.00181,0,0,0.00456,0.00287,0.07358,0.11619,0.05238,0.11265,0.22204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032,0.00602,0,0,0.00029,0,0,0,0,0,0,0.00734,0,0,0,0,0,0,0,0.00086,0.00014,0.00036,0,0,0,0,0.03425,0,0,0,0.03136,0.01898,0,0,0,0,0,0,0,0.03239,0.0052,0,0,0,0,0,0,0.00155,0,0,0,0,0,0,0,0,0.00491,0,0,0,0,0.00089,0,0.00108,0.00376,0,0.00613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02625,0.02835,0,0,0.00725,0,0,0,0,0,0,0,0,0,0.00051,0,0,0,0,0,0.00072
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis",0.05697,0.05448,0.08313,0.08285,0.01145,0.02298,0.21885,0.04001,0.02608,0.06566,0.11709,0.01456,0.01088,0.02469,0.01615,0.01486,0.08041,0.02142,0.0432,0.03674,0.01481,0.04098,0.02721,0,0.00203,0.02531,0,0,0,0.00014,0,0,0,0.02414,0.25417,2.1664,0.02977,0.07826,0.00603,0.01197,0.01987,0.24383,0.00103,0,0.00802,0.00372,0.00285,0,0.00149,0.21959,0,0.77963,0.30421,0.21867,0.2247,0.13045,1.31879,0.12369,2.76675,9.23474,0.81581,0,0.03204,0.00036,0.59999,0,0,0.01909,0.00349,0.05872,0.00122,0.0466,0.0603,0.08037,4.52966,0.07538,0.03331,0.036,0.04626,0.03574,0.02569,0.04585,0.05771,0.03919,0,0.00078,0,0,0,0.00547,0.92603,0.99084,0.38506,1.40775,1.18321,0.01209,0.00422,0.00899,0.01731,0.27167,0.0175,0.00864,0,0.0027,0,0,0.01536,0.08518,0.03351,0.39104,0.21909,0.00535,0.05805,0.03755,0.04911,0.02413,0.0014,0.00788,0.01851,0.05165,0,0.00121,0,0.0505,0.08244,0.05763,0.13036,0.00533,0.00763,0.0876,0.01075,0,0.03381,0.0081,0.27377,0.02354,0.00226,0,1.94153,0.88558,0.17177,0.00213,0.00155,2.23317,1.2397,0.00122,0.16625,0.00252,0.01616,0.00545,0.0027,0.02016,0.01499,0.02484,0.01568,0.06786,0.02999,0.0093,0.08084,0.01049,0.00404,0.08554,0.093,0.06724,0.04104,0.04224,0.20599,0.07772,0.01936,0.03461,0.08934,0.52091,0.24373,0.10244,0.36499,0.15913,0.05777,0.04605,0.07695,0.07244,0.07774,0.04266,0.06219,0.08146,0.09375,0.12225,0.16081,0.20994,0.08022,0.10143,0.02447,0.06922,0.01114,0.05742,0.01312,0.0454,0.1006,0,0,0,0,0,0,0.00022,0.19995,0.83047,0.00396,0.05706,0.39374,0.00226,0,0.00529,0,0,0.00389,0.01179,0.0019,0.02286,0.08189,0.00671,0.00566,0.02178,0.00168,0.03233,0.16941
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_rubneri",0,0,0,0,0,0,0,0,0,0.06066,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00856,0,0,0,0,0.00221,0.00292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius",0.01275,0.01067,0.13902,0.06535,0.01863,0.04082,0.15343,0.08884,0.14294,0.60592,1.094,0.06801,0.02888,0.10186,0.05035,0.10017,0.554,0.18814,0.15161,0.10592,0.0614,0.14423,0.11803,0.00312,0.05531,0.05596,0.02111,0.14978,0.2615,0.04118,0,0,0,0.32238,0.15934,2.85605,0.01277,0.07753,0.021,0.00549,0.05067,0.27677,0.12821,0.16286,0.0632,0.02019,0.0141,0,0.05964,1.34776,0,4.34987,1.36382,1.59762,2.03568,2.85371,7.45211,2.74528,17.59868,25.65137,9.30554,0.00258,0.25708,0.02433,0.19524,0.00034,0.00571,0.08014,0.03271,0.13123,0.04393,0.06289,0.05826,0.11963,5.24372,0.11267,0.0795,0.05259,0.06776,0.05715,0.0787,0.11969,0.68662,0.50269,0.01788,0.10118,0.02829,0.01785,0.02628,0.04312,2.09953,3.8276,1.95247,4.48092,3.50872,0.08136,0.02896,0.035,0.1319,0.47423,0.04565,0.00356,0.00066,0.00442,0,0,0.03801,0.13438,0.04197,0.65741,0.63073,0.0649,0.30179,0.09853,0.21027,0.09153,0.02827,0.02903,0.07155,0.15506,0.04033,0.07813,0.07075,0.73471,0.71304,0.28167,0.14668,0.0222,0.01701,0.08587,0.04469,0.00225,0.09769,0.04882,0.971,0.09993,0.10661,0.03525,0.81854,0.31924,0.07958,0.01888,0.06564,0,0,0.03536,0.25941,0.01422,0.02572,0.06466,0.01438,0.071,0.05479,0.05609,0.03053,0.18222,0.06073,0.00775,0.17397,0.07311,0.03569,0.11057,0.25608,0.22295,0.25334,0.27548,0.21177,0.21279,0.08247,0.13321,0.21232,0.26342,0.38238,0.25018,0.39314,0.29203,0.12506,0.07964,0.12025,0.16911,0.25991,0.07086,0.0528,0.14167,0.16959,0.18478,0.132,0.15122,0.07618,0.17916,0.14759,0.1796,0.06025,0.49822,0.32833,0.77354,0.8163,0.07436,0.17581,0.01635,0.00603,0.00968,0.07308,0.05101,1.06164,3.11905,0.53409,1.66911,2.57537,0.03029,0.00493,0.02146,0.00236,0.00362,0.05913,0.0937,0.01435,0.00343,0.50377,0.0626,0.1192,0.13562,0.07707,0.32627,1.01961
