"","GO_Pt1_Baseline","GO_Pt1_C1D1","GO_Pt1_C1D3","GO_Pt1_C1D7","GO_Pt1_C2D1","GO_Pt1_C3D1","GO_Pt1_Final","GO_Pt11_Baseline","GO_Pt11_C1D3","GO_Pt11_C1D7","GO_Pt11_C2D1","GO_Pt12_Baseline","GO_Pt12_C1D1","GO_Pt12_C1D3","GO_Pt12_C1D7","GO_Pt12_C2D1","GO_Pt12_C3D1","GO_Pt13_Baseline","GO_Pt13_C1D1","GO_Pt13_C1D3","GO_Pt13_C1D7","GO_Pt13_C2D1","GO_Pt13_C3D1","GO_Pt14_Baseline","GO_Pt14_C1D1","GO_Pt14_C1D3","GO_Pt14_C2D1","GO_Pt14_C3D1","GO_Pt14_Final","GO_Pt15_Baseline","GO_Pt15_C1D1","GO_Pt15_C1D3","GO_Pt15_C1D7","GO_Pt15_C2D1","GO_Pt16_Baseline","GO_Pt16_C1D1","GO_Pt17_Baseline","GO_Pt17_C1D1","GO_Pt17_C1D7","GO_Pt17_C2D1","GO_Pt17_C3D1","GO_Pt17_Final","GO_Pt18_Baseline","GO_Pt18_C1D1","GO_Pt18_C1D3","GO_Pt18_C1D7","GO_Pt18_C2D1","GO_Pt18_C3D1","GO_Pt18_Final","GO_Pt19_Baseline","GO_Pt19_C1D1","GO_Pt19_C1D3","GO_Pt19_C1D7","GO_Pt19_C2D1","GO_Pt19_C3D1","GO_Pt2_Baseline","GO_Pt2_C1D1","GO_Pt2_C1D3","GO_Pt2_C1D7","GO_Pt2_C2D1","GO_Pt2_C3D1","GO_Pt20_Baseline","GO_Pt20_C1D1","GO_Pt20_C1D3","GO_Pt20_C1D7","GO_Pt20_C2D1","GO_Pt20_C3D1","GO_Pt21_Baseline","GO_Pt21_C1D1","GO_Pt21_C1D3","GO_Pt21_C1D7","GO_Pt22_Baseline","GO_Pt22_C1D1","GO_Pt22_C1D3","GO_Pt22_C1D7","GO_Pt22_C2D1","GO_Pt23_Baseline","GO_Pt23_C1D1","GO_Pt23_C1D3","GO_Pt23_C1D7","GO_Pt23_C2D1","GO_Pt23_C3D1","GO_Pt24_Baseline","GO_Pt24_C1D1","GO_Pt25_Baseline","GO_Pt25_C1D1","GO_Pt25_C1D3","GO_Pt25_C2D1","GO_Pt25_C3D1","GO_Pt25_Final","GO_Pt29_Baseline","GO_Pt29_C1D1","GO_Pt29_C1D3","GO_Pt29_C2D1","GO_Pt29_C3D1","GO_Pt30_Baseline","GO_Pt30_C1D1","GO_Pt30_C1D3","GO_Pt30_C3D1","GO_Pt31_Baseline","GO_Pt31_C1D1","GO_Pt31_C1D3","GO_Pt31_C1D7","GO_Pt31_C2D1","GO_Pt31_C3D1","GO_Pt31_Final","GO_Pt32_Baseline","GO_Pt32_C1D1","GO_Pt32_C1D3","GO_Pt32_C1D7","GO_Pt32_C2D1","GO_Pt33_Baseline","GO_Pt33_C1D1","GO_Pt33_C1D3","GO_Pt33_C1D7","GO_Pt33_C2D1","GO_Pt33_Final","GO_Pt34_Baseline","GO_Pt34_C1D1","GO_Pt34_C1D3","GO_Pt35_Baseline","GO_Pt35_C1D1","GO_Pt35_C1D3","GO_Pt35_C1D7","GO_Pt35_C2D1","GO_Pt35_C3D1","GO_Pt35_Final","GO_Pt38_Baseline","GO_Pt38_C1D1","GO_Pt38_C1D3","GO_Pt38_C1D7","GO_Pt38_C2D1","GO_Pt38_C3D1","GO_Pt38_Final","GO_Pt39_Baseline","GO_Pt4_Baseline","GO_Pt4_C1D1","GO_Pt4_C1D3","GO_Pt4_C1D7","GO_Pt4_C2D1","GO_Pt4_C3D1","GO_Pt40_Baseline","GO_Pt40_C1D3","GO_Pt40_C1D7","GO_Pt40_C2D1","GO_Pt42_Baseline","GO_Pt42_C1D1","GO_Pt42_C1D3","GO_Pt42_C1D7","GO_Pt42_C2D1","GO_Pt42_C3D1","GO_Pt42_Final","GO_Pt43_Baseline","GO_Pt43_C1D1","GO_Pt43_C1D3","GO_Pt43_C1D7","GO_Pt43_C2D1","GO_Pt43_C3D1","GO_Pt43_Final","GO_Pt44_Baseline","GO_Pt44_C1D1","GO_Pt44_C1D3","GO_Pt44_C1D7","GO_Pt44_C2D1","GO_Pt45_Baseline","GO_Pt45_C1D1","GO_Pt45_C1D3","GO_Pt45_C1D7","GO_Pt45_C2D1","GO_Pt45_C3D1","GO_Pt45_Final","GO_Pt47_Baseline","GO_Pt47_C1D1","GO_Pt47_C1D3","GO_Pt47_C1D7","GO_Pt47_C2D1","GO_Pt50_Baseline","GO_Pt50_C1D1","GO_Pt50_C1D3","GO_Pt50_C1D7","GO_Pt50_C2D1","GO_Pt50_C3D1","GO_Pt50_Final","GO_Pt51_Baseline","GO_Pt51_C1D1","GO_Pt51_C1D3","GO_Pt51_C1D7","GO_Pt51_C2D1","GO_Pt51_C3D1","GO_Pt51_Final","GO_Pt52_Baseline","GO_Pt52_C1D1","GO_Pt52_C1D3","GO_Pt52_C1D7","GO_Pt52_C2D1","GO_Pt52_C3D1","GO_Pt52_Final","GO_Pt53_Baseline","GO_Pt53_C1D1","GO_Pt53_C1D3","GO_Pt53_C1D7","GO_Pt53_C2D1","GO_Pt54_Baseline","GO_Pt54_C1D1","GO_Pt54_C1D3","GO_Pt54_C1D7","GO_Pt54_C2D1","GO_Pt54_C3D1","GO_Pt54_Final","GO_Pt6_C1D1","GO_Pt6_C1D3","GO_Pt6_C1D7","GO_Pt6_C2D1","GO_Pt6_C3D1","GO_Pt7_Baseline","GO_Pt7_C1D1","GO_Pt7_C1D3","GO_Pt7_C1D7","GO_Pt7_C2D1","GO_Pt9b_Baseline","GO_Pt9b_C1D1","GO_Pt9b_C1D3","GO_Pt9b_C2D1","GO_Pt9b_C3D1","GO_Pt9c_C1D3"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales",0,0,0,0,0,0,0,0,0,0,0,3.90613,3.95064,3.20262,3.62597,1.75341,8.48663,0,0,0,0,0,0,0,0,0,0,0,1.10876,0,0,0,0,0,0.0159,0.19425,1.36212,1.89413,1.20381,1.46203,0.87442,0.02422,0.00166,0.00012,0.00195,0,0,0,0.00013,3.83615,2.15008,5.82087,5.72469,4.83004,4.70133,0,0.04451,0.03085,0.04197,0.09177,0.02777,0.96332,1.63714,1.98928,0.00121,0.74185,0.91953,0.04836,0.04589,0.02303,1.12903,0,0,0,0.00489,0,1.12125,2.20699,1.40551,1.6391,0.91662,1.41269,3.18023,4.11289,0.78203,0.79095,1.22368,0.9899,0.78079,1.1235,1.87512,1.91138,1.24667,1.74553,1.56365,0.00296,0.002,0,0.00141,4.74695,3.31752,5.28741,5.04494,2.29714,2.10843,1.80465,0,0,9e-04,0.00484,0,0,0.00599,0,0.02202,0.01659,0,0,0,0.00914,0,0,0,0,0,0.00177,0.00636,1.68211,1.85942,1.47915,0.48796,2.58573,2.70026,2.47466,0.00288,1.83714,0.87669,2.07632,1.14992,0.75868,1.30131,1.03822,1.34918,0.75458,1.15924,2.21404,1.14097,1.29083,1.10811,2.25757,2.06426,0.90632,0.62525,0.80275,0.71345,0.92509,0.71848,0.72357,1.89882,1.56121,3.10167,3.21893,2.07568,2.02155,4.22252,2.86378,5.55827,2.47369,1.85239,3.15655,6.25133,0.00108,0.00443,3e-04,0,0.0026,0.16144,0.07943,0.14177,0.20282,0.13613,0.29146,0.34912,2.89016,3.88319,6.3994,4.44045,4.76612,3.27092,7.5599,0,0,0,0,0,0.00083,0.00188,0.00034,0.03904,0.01184,0,4.07577,0,0,0.00031,0.00467,0.00373,0,0.03082,2.03161,0.91759,1.92701,1.26968,1.56548,0.74097,0.7492,0.79002,0.13942,0.29558,1.02502,0.59593,0.7053,0.77114,0.85656,0.79615
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriia_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16982,0.21018,0.18021,0.14413,0.06327,0.06643,0,0,0.04581,0.03817,0.07171,0.06238,0.06448,0.10612,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0.0015,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04261,0.00233,0.04522,0.04789,0.02713,0,0,0,0,0,0,0,0,0,0.01527,0.01869,0.01517,0.03111,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0.02616,0.0121,0.03325,0.02759,0.0485,0.02292,0.01491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18845,0.24783,0.32428,0.16774,0.23145,0.42984
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales",5.80762,5.35395,2.7122,2.38123,5.60883,4.62159,3.5412,0.79277,0.6358,0.61904,0.41996,0.84025,0.41188,0.39473,0.33264,0.20143,0.97323,1.50764,1.1986,0.87815,1.8546,1.76618,2.02263,1.20594,0.74925,0.61331,1.07208,0.61153,0.32598,1.68753,1.28829,0,1.17743,2.23441,0.00067,0.00305,0.63272,0.28014,0.11209,0.25395,0.21797,0.05109,0,0,0,0,0,0,0.69875,0.54672,0,0.68928,0.48702,0.75929,1.00459,0.15694,0.17258,0.16282,0.13562,0.34086,0.1394,0.28679,0.38259,0.41591,0.65196,1.1122,0.3157,0.95478,0.65507,1.68665,0.60524,1.155,1.3257,1.41712,1.13085,3.36227,0.26816,0.84423,0.21402,0.50946,0.17628,0.25233,1.67412,1.36216,0.39592,0.48524,0.72276,0.61142,0.86441,0.90689,0.32458,0.51185,0.21644,1.16197,0.51936,2.04599,1.586,1.18101,2.19408,0.30972,0.13398,0.22582,0.20895,0.07838,0.16189,0.10431,0.2984,0.30454,0.94991,0.25406,0.66386,1.47142,2.60191,1.87524,3.50865,4.02305,0.66929,0,0,0,2.35295,1.89295,0.96464,0.95133,1.97925,2.22365,2.2957,0.44314,1.27238,0.90712,0.48946,1.66873,1.03704,1.08736,0,0.13526,0.97544,6.66085,0.15221,0.95555,0.56715,0.76741,0.68604,0.17143,0.79884,0.42174,0.12461,0.41134,0.17994,0.50488,0.07022,0.19437,1.08834,0.63071,0.71069,0.39446,0.67046,0.43899,0.13193,0.20963,0.46363,1.15047,0.62676,0.20909,0.45159,0.25895,0.313,0.14902,0.18926,0.27557,0.41464,0,1.6693,1.24009,0.6055,0.40519,0.2054,0.16662,0.20433,0.08373,0.16739,0.15492,0.30536,0.53241,1.25241,0.90141,0.84135,0.79765,0.98113,0.10911,0.80433,1.37299,0.98574,2.28,2.59429,0.69449,2.82022,0,0,0,0,0,0.39074,0.73531,1.44519,0.69236,0.88825,0.59577,0.92153,0.71056,0.80824,0.43614,0.68193,0.40044,0,0,0,0,0.04967,0.18943,0.18614,0.31902,0.1765,0.21781,0.2179
"k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales",15.06522,13.36587,24.76773,9.52545,7.91215,9.1868,7.39878,0,5.44107,0.91814,3.4894,12.71424,17.58463,17.20338,16.68098,14.10064,0.87017,6.60247,6.94638,6.17714,7.4846,7.25364,7.5072,22.46207,15.70423,15.2479,21.16845,10.92452,12.1265,22.99996,21.2309,96.96477,36.20786,21.61553,0,0,15.84574,8.4823,24.03711,13.34872,21.22155,2.55344,27.05331,26.86095,5.84352,10.3535,13.33179,12.82282,18.81306,21.69184,79.94008,12.72384,21.66521,21.51778,25.55481,34.27768,36.51245,0.07174,2.10541,0.25727,43.27714,18.59736,24.7555,18.14161,0.0199,33.55945,17.75536,12.14743,11.10427,1.22566,25.29429,19.91393,21.87201,33.24537,20.54578,13.26795,17.47798,16.10082,23.03589,20.16832,24.73044,15.0877,14.88326,6.03931,12.67867,13.8289,14.56766,16.00552,20.86289,7.62869,18.10548,9.58354,26.41218,9.84114,23.99265,17.01042,8.83113,9.89872,8.77619,29.27793,37.50619,11.94496,13.09399,21.83709,14.74284,17.74074,25.91841,27.57819,27.59861,24.82131,20.67476,19.17463,4.87899,35.66783,27.77,33.36252,45.4177,52.29864,57.26804,63.19268,0.39678,0,0,0,0.00098,0,0,23.55406,21.32212,12.81421,12.97313,13.29184,7.91821,23.02712,0,33.27904,13.77381,7.29432,17.45162,31.45725,34.68661,34.21686,15.93305,32.11349,23.94879,20.14992,40.64866,18.67022,42.39844,21.34138,55.70119,35.59604,29.0074,30.02517,28.35379,37.75774,40.36937,28.03295,22.6234,27.71965,25.39432,33.06327,22.23401,32.67986,10.39775,14.95894,22.50016,32.04541,32.4315,39.22919,30.72998,0,0,0,0,0,11.64364,8.41569,6.76726,11.06103,10.642,12.70975,7.06787,11.64544,17.82134,13.89457,12.41009,3.43133,27.29279,10.42776,0.0245,0,0.26995,0.00371,0,0,0,0.14923,1.79371,9.23966,19.08001,41.77792,12.59396,13.7248,11.63765,20.09344,0.82473,1.29901,3.40848,6.6574,22.09596,18.07438,25.81759,16.56501,30.47136,11.88648,13.83507,18.18913,10.27197,24.58214,27.35112,26.10234,28.29357,14.43538,20.17254
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales",0.00192,0.00097,0.004,0,0.00418,0.0039,0.00134,0,0,0,0,0,0,0,0,0,0,0,0.00047,0.00043,0,0.00048,0.00036,0,0,0,0,0,0.00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00336,0.00114,0,0,0,0,0,0,0.00996,0.01031,0.00488,0,0.01285,0.00986,0,0,0,0.00928,0,0,0,0,0,0,0,0,0,0,0,0.00236,0.00285,0,0.00035,0.00025,0.00094,0.00037,0.00046,0.00147,0.00245,0.00088,0.00048,4e-05,0.00747,0.00473,0.00281,0.009,0,0,0,0,0,0,0,0.00698,0.00594,0.00628,0.00135,0.00491,0,0,0,0,0.02523,0.00423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032,0.00182,6e-04,0.001,0,0,0,0,0,0,0,0.01012,0.00184,0.00888,0.0107,0.01977,0.012,0,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,0,0,0,0,0,0,0.00013,0,0,0,0,0.00966,0.0305,0.02719,0.01936,0.01863,0.01504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00312,0.00883,0.00524,0.01027,0.00253,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8464,0.91065,0.65589,0.35399,0.1579,0.21097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB602|o__OFGB602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09606,0.02184,0.04594,0.10729,0.21269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15156,0.22117,0.14141,0.17591,0.20024,0.32104,0.13371,0.05505,0.08372,0.04819,0.0385,0,0,0,0,0.00752,0.11432,0.18234,0.29383,0.11888,0.31054,0.39293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB618|o__OFGB618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00286,0.00729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119,0.00701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19569,0.28004,0.3353,0.1078,0.03456,0.03003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15055,0.13734,0.13513,0.17615,0.06989,0.24673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18878,0.061,0.0379,0.04872,0.0138,0.06984,0.01682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01213,0.01746,0.01827,0.04199,0.00727,0.00314
"k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341,0,0,0,0,0,0,0,0,0,0,0,0.07034,0,0,0,0,0,0,0,0.07385,0.00226,0.06235,0.06822,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44658,2.24566,0.35229,0,0.12569,0.40214,0,0,0,0.03492,0,0,0,0,0,0.06688,0.03733,0.65154,0.56175,0.44692,0.14,0.01158,0.00365,0.03351,0.03574,0.06559,0.04526,0.05331,0.33076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07498,0,0,0.00575,0,0,0,0,0,0,0,0.01682,0.2615,0.12153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1322,0.02826,0.00309,0,0.08,0.10881,0.00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03377,0,0.00984,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14676,2.03388,0.63518,0.91703,0.43145,1.14032
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059,0,0,0,0,0,0.00139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified",0,0,0,0,0,0,0,0.00116,0.00952,0.01353,0.01249,0.00031,0,0,0,0,0,0.00164,0.00269,0.00366,0.0035,0.00147,0,0.00864,0.00567,0.00727,0.00152,0,0,0,0,0,0,0,0.0132,0.44332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00323,0,0,0,0,0,0.05633,0,0,0,0,0,0,0.00562,0.00903,0.00451,0.04513,0.01004,0,0.00278,0.00562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,0,0.00467,0.00421,0,0.00458,0.00487,0.00084,0.00972,0.02026,0.05083,0,0,0,0,0,0,0.00328,0,0,0,0,0,0,0,0.03092,0,0,0,0.01197,8e-04,0.00558,0,0,0,0,0,0.00139,0.00331,0.00747,0.0024,0.00144,0.00107,0,0,0,0,0,0,0,0,0,0,0,0,0.00167,0.00022,0.03669,0.00598,0.01113,0.01746,0.01626,0.02357,0.03178,0.00265,0.00519,0.02052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034,0,4e-05,0.00038,0.00574,0,0,0,0,0,0,0,0,0,0,0.00238,0,0,0.00063,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Saccharimonales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-05,0.00664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152,0.003,0.00625,0.00152,0.00904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales",0,0,0,0,0,0.08067,0,0.00618,0.00791,0.01382,0.00883,0,0,0,0,0.00038,0.01654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00443,0.70513,0,0,0,0,0.00228,0,0,0,0,0,0,0,0,0.00538,0,0.00414,0,0.00093,0,0,0.00021,0,0,0.19488,0.00236,0,0,0,0,0,0,0,0,0,0,0.00206,0.00384,7e-05,0.02873,0.00092,0.00984,0.00498,0.00278,0,0,0.0011,0,0,0,0,0,0,0,0,0.00831,0.00667,0.01865,0,0.13754,0,0,0,0,0,0,0,0,0,0.00841,0,0,0,0.00522,0.00161,0.00186,0.00041,0.0034,0,0,0,0,0.00098,0.00635,0.00267,0,0.01606,0.00661,0.00749,0.00621,0.00135,0,0,0,0,0,0,0,0,0.00847,0,0,0,0.005,0,0,0,0,0,0.00152,0,0,0,0,0,0,0,0,0,6e-05,0,0,0,0.00756,0.00147,0,0.00651,0.02501,0,0,0,0.00359,0,0,0,0,0.00232,0,0,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00444,0,0,0,0.00474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
