"","GO_Pt1_Baseline","GO_Pt1_C1D1","GO_Pt1_C1D3","GO_Pt1_C1D7","GO_Pt1_C2D1","GO_Pt1_C3D1","GO_Pt1_Final","GO_Pt11_Baseline","GO_Pt11_C1D3","GO_Pt11_C1D7","GO_Pt11_C2D1","GO_Pt12_Baseline","GO_Pt12_C1D1","GO_Pt12_C1D3","GO_Pt12_C1D7","GO_Pt12_C2D1","GO_Pt12_C3D1","GO_Pt13_Baseline","GO_Pt13_C1D1","GO_Pt13_C1D3","GO_Pt13_C1D7","GO_Pt13_C2D1","GO_Pt13_C3D1","GO_Pt14_Baseline","GO_Pt14_C1D1","GO_Pt14_C1D3","GO_Pt14_C2D1","GO_Pt14_C3D1","GO_Pt14_Final","GO_Pt15_Baseline","GO_Pt15_C1D1","GO_Pt15_C1D3","GO_Pt15_C1D7","GO_Pt15_C2D1","GO_Pt16_Baseline","GO_Pt16_C1D1","GO_Pt17_Baseline","GO_Pt17_C1D1","GO_Pt17_C1D7","GO_Pt17_C2D1","GO_Pt17_C3D1","GO_Pt17_Final","GO_Pt18_Baseline","GO_Pt18_C1D1","GO_Pt18_C1D3","GO_Pt18_C1D7","GO_Pt18_C2D1","GO_Pt18_C3D1","GO_Pt18_Final","GO_Pt19_Baseline","GO_Pt19_C1D1","GO_Pt19_C1D3","GO_Pt19_C1D7","GO_Pt19_C2D1","GO_Pt19_C3D1","GO_Pt2_Baseline","GO_Pt2_C1D1","GO_Pt2_C1D3","GO_Pt2_C1D7","GO_Pt2_C2D1","GO_Pt2_C3D1","GO_Pt20_Baseline","GO_Pt20_C1D1","GO_Pt20_C1D3","GO_Pt20_C1D7","GO_Pt20_C2D1","GO_Pt20_C3D1","GO_Pt21_Baseline","GO_Pt21_C1D1","GO_Pt21_C1D3","GO_Pt21_C1D7","GO_Pt22_Baseline","GO_Pt22_C1D1","GO_Pt22_C1D3","GO_Pt22_C1D7","GO_Pt22_C2D1","GO_Pt23_Baseline","GO_Pt23_C1D1","GO_Pt23_C1D3","GO_Pt23_C1D7","GO_Pt23_C2D1","GO_Pt23_C3D1","GO_Pt24_Baseline","GO_Pt24_C1D1","GO_Pt25_Baseline","GO_Pt25_C1D1","GO_Pt25_C1D3","GO_Pt25_C2D1","GO_Pt25_C3D1","GO_Pt25_Final","GO_Pt29_Baseline","GO_Pt29_C1D1","GO_Pt29_C1D3","GO_Pt29_C2D1","GO_Pt29_C3D1","GO_Pt30_Baseline","GO_Pt30_C1D1","GO_Pt30_C1D3","GO_Pt30_C3D1","GO_Pt31_Baseline","GO_Pt31_C1D1","GO_Pt31_C1D3","GO_Pt31_C1D7","GO_Pt31_C2D1","GO_Pt31_C3D1","GO_Pt31_Final","GO_Pt32_Baseline","GO_Pt32_C1D1","GO_Pt32_C1D3","GO_Pt32_C1D7","GO_Pt32_C2D1","GO_Pt33_Baseline","GO_Pt33_C1D1","GO_Pt33_C1D3","GO_Pt33_C1D7","GO_Pt33_C2D1","GO_Pt33_Final","GO_Pt34_Baseline","GO_Pt34_C1D1","GO_Pt34_C1D3","GO_Pt35_Baseline","GO_Pt35_C1D1","GO_Pt35_C1D3","GO_Pt35_C1D7","GO_Pt35_C2D1","GO_Pt35_C3D1","GO_Pt35_Final","GO_Pt38_Baseline","GO_Pt38_C1D1","GO_Pt38_C1D3","GO_Pt38_C1D7","GO_Pt38_C2D1","GO_Pt38_C3D1","GO_Pt38_Final","GO_Pt39_Baseline","GO_Pt4_Baseline","GO_Pt4_C1D1","GO_Pt4_C1D3","GO_Pt4_C1D7","GO_Pt4_C2D1","GO_Pt4_C3D1","GO_Pt40_Baseline","GO_Pt40_C1D3","GO_Pt40_C1D7","GO_Pt40_C2D1","GO_Pt42_Baseline","GO_Pt42_C1D1","GO_Pt42_C1D3","GO_Pt42_C1D7","GO_Pt42_C2D1","GO_Pt42_C3D1","GO_Pt42_Final","GO_Pt43_Baseline","GO_Pt43_C1D1","GO_Pt43_C1D3","GO_Pt43_C1D7","GO_Pt43_C2D1","GO_Pt43_C3D1","GO_Pt43_Final","GO_Pt44_Baseline","GO_Pt44_C1D1","GO_Pt44_C1D3","GO_Pt44_C1D7","GO_Pt44_C2D1","GO_Pt45_Baseline","GO_Pt45_C1D1","GO_Pt45_C1D3","GO_Pt45_C1D7","GO_Pt45_C2D1","GO_Pt45_C3D1","GO_Pt45_Final","GO_Pt47_Baseline","GO_Pt47_C1D1","GO_Pt47_C1D3","GO_Pt47_C1D7","GO_Pt47_C2D1","GO_Pt50_Baseline","GO_Pt50_C1D1","GO_Pt50_C1D3","GO_Pt50_C1D7","GO_Pt50_C2D1","GO_Pt50_C3D1","GO_Pt50_Final","GO_Pt51_Baseline","GO_Pt51_C1D1","GO_Pt51_C1D3","GO_Pt51_C1D7","GO_Pt51_C2D1","GO_Pt51_C3D1","GO_Pt51_Final","GO_Pt52_Baseline","GO_Pt52_C1D1","GO_Pt52_C1D3","GO_Pt52_C1D7","GO_Pt52_C2D1","GO_Pt52_C3D1","GO_Pt52_Final","GO_Pt53_Baseline","GO_Pt53_C1D1","GO_Pt53_C1D3","GO_Pt53_C1D7","GO_Pt53_C2D1","GO_Pt54_Baseline","GO_Pt54_C1D1","GO_Pt54_C1D3","GO_Pt54_C1D7","GO_Pt54_C2D1","GO_Pt54_C3D1","GO_Pt54_Final","GO_Pt6_C1D1","GO_Pt6_C1D3","GO_Pt6_C1D7","GO_Pt6_C2D1","GO_Pt6_C3D1","GO_Pt7_Baseline","GO_Pt7_C1D1","GO_Pt7_C1D3","GO_Pt7_C1D7","GO_Pt7_C2D1","GO_Pt9b_Baseline","GO_Pt9b_C1D1","GO_Pt9b_C1D3","GO_Pt9b_C2D1","GO_Pt9b_C3D1","GO_Pt9c_C1D3"
"k__Bacteria|p__Actinobacteria|c__CFGB25442|o__OFGB25442|f__FGB25442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04836,0.08982,0.19592,0.19205,0.02824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15406,0.12747,0.10151,0.09941,0.04914,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__CFGB9370|o__OFGB9370|f__FGB9370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02083,0.10843,0,0,0.01581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00872,0.01756,0.00598,0,0.00447,0.00585,0,0,0.00558,0.00843,0.02278,0.01728,0.02746,0.02488,0.00943,0.00855,0,0.08231,0.01226,0,0,0,0,0.00245,0.00369,0.00237,0,0.0035,0.0022,0.00299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318,0.0274,0.07444,0.07076,0.07623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124,0.00183,0.01176,0.05321,0.03164,0.0154,0.017,0.01882,0.01043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159,0.19425,0,0,0,0,0,0.00152,0.00166,0.00012,0.00195,0,0,0,0.00013,0.0434,0,0.06553,0.01716,0.0145,0.00301,0,0.04451,0.03085,0.04197,0.09177,0.02777,0,0,0,0.00121,0,0,0.04836,0.04589,0.02303,0,0,0,0,0.00489,0,0.00573,0.01604,0.01372,0.00395,0.00841,0.01053,0.00697,0.00037,0.11938,0.10805,0.1565,0.04456,0.08943,0.12779,0.10542,0.13841,0.00757,0.19885,0.10037,0.00296,0.002,0,0.00141,0.16943,0.1848,0.29232,0.08796,0.09575,0.18037,0.10189,0,0,9e-04,0.00484,0,0,0.00599,0,0.02119,0.01659,0,0,0,0.00914,0,0,0,0,0,0.00177,0.00636,0.00031,0,0,0,0.00025,0.001,0,0.00288,0,0,0,0.06631,0.00381,0.00827,0,0,0,0.00225,0,0,0,0,0.00052,0,0,0,0,0,0.00075,0,0,0.00374,0,0,0,0,0.00111,0.67297,0.35639,0.67658,0.2312,0.19771,0.1651,0.10707,0.00108,0.00443,3e-04,0,0.0026,0,0,0,0,0,0,0,0,0,4e-05,0,0,0,0,0,0,0,0,0,0.00083,0.00188,0,0,0,0,0,0,0,0.00031,0.00467,0.00373,0,0.03082,0,0,0,0,0,0.74097,0.7492,0.79002,0.13942,0.29558,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,3.90613,3.95064,3.20262,3.62597,1.75341,8.48663,0,0,0,0,0,0,0,0,0,0,0,1.10876,0,0,0,0,0,0,0,1.36212,1.89413,1.20381,1.46203,0.87442,0.0227,0,0,0,0,0,0,0,3.79275,2.15008,5.75534,5.70753,4.81555,4.69832,0,0,0,0,0,0,0.96332,1.63714,1.98928,0,0.74185,0.91953,0,0,0,1.12903,0,0,0,0,0,1.11552,2.19095,1.39179,1.63516,0.9082,1.40215,3.17326,4.11252,0.66265,0.68291,1.06717,0.94534,0.69136,0.99571,1.7697,1.77296,1.2391,1.54668,1.46327,0,0,0,0,4.57752,3.13271,4.99508,4.95698,2.20139,1.92806,1.70276,0,0,0,0,0,0,0,0,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,1.6818,1.85942,1.47915,0.48796,2.58547,2.69926,2.47466,0,1.83714,0.87669,2.07632,1.08361,0.75487,1.29304,1.03822,1.34918,0.75458,1.15699,2.21404,1.14097,1.29083,1.10811,2.25705,2.06426,0.90632,0.62525,0.80275,0.71345,0.92434,0.71848,0.72357,1.89508,1.56121,3.10167,3.21893,2.07568,2.02045,3.54955,2.50738,4.88169,2.24249,1.65468,2.99144,6.14427,0,0,0,0,0,0.16144,0.07943,0.14177,0.20282,0.13613,0.29146,0.34912,2.89016,3.88319,6.39936,4.44045,4.76612,3.27092,7.5599,0,0,0,0,0,0,0,0.00034,0.03904,0.01184,0,4.07577,0,0,0,0,0,0,0,2.03161,0.91759,1.92701,1.26968,1.56548,0,0,0,0,0,1.02502,0.59593,0.7053,0.77114,0.85656,0.79615
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriia_unclassified|f__Coriobacteriia_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16982,0.21018,0.18021,0.14413,0.06327,0.06643,0,0,0.04581,0.03817,0.07171,0.06238,0.06448,0.10612,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0.0015,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04261,0.00233,0.04522,0.04789,0.02713,0,0,0,0,0,0,0,0,0,0.01527,0.01869,0.01517,0.03111,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0.02616,0.0121,0.03325,0.02759,0.0485,0.02292,0.01491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18845,0.24783,0.32428,0.16774,0.23145,0.42984
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae",5.80762,5.35395,2.7122,2.38123,5.60883,4.62159,3.5412,0.79277,0.6358,0.61904,0.41996,0.84025,0.41188,0.39473,0.33264,0.20143,0.97323,1.50764,1.1986,0.87815,1.8546,1.76618,2.02263,1.20594,0.74925,0.61331,1.07208,0.61153,0.32598,1.68753,1.28829,0,1.17743,2.23441,0.00067,0.00305,0.63272,0.28014,0.11209,0.25395,0.21797,0.05109,0,0,0,0,0,0,0.69875,0.54672,0,0.68928,0.48702,0.75929,1.00459,0.15694,0.17258,0.16282,0.13562,0.34086,0.1394,0.28679,0.38259,0.41591,0.65196,1.1122,0.3157,0.95478,0.65507,1.68665,0.60524,1.155,1.3257,1.41712,1.13085,3.36227,0.26816,0.84423,0.21402,0.50946,0.17628,0.25233,1.67412,1.36216,0.39592,0.48524,0.72276,0.61142,0.86441,0.90689,0.32458,0.51185,0.21644,1.16197,0.51936,2.04599,1.586,1.18101,2.19408,0.30972,0.13398,0.22582,0.20895,0.07838,0.16189,0.10431,0.2984,0.30454,0.94991,0.25406,0.66386,1.47142,2.60191,1.87524,3.50865,4.02305,0.66929,0,0,0,2.35295,1.89295,0.96464,0.95133,1.97925,2.22365,2.2957,0.44314,1.27238,0.90712,0.48946,1.66873,1.03704,1.08736,0,0.13526,0.97544,6.66085,0.15221,0.95555,0.56715,0.76741,0.68604,0.17143,0.79884,0.42174,0.12461,0.41134,0.17994,0.50488,0.07022,0.19437,1.08834,0.63071,0.71069,0.39446,0.67046,0.43899,0.13193,0.20963,0.46363,1.15047,0.62676,0.20909,0.45159,0.25895,0.313,0.14902,0.18926,0.27557,0.41464,0,1.6693,1.24009,0.6055,0.40519,0.2054,0.16662,0.20433,0.08373,0.16739,0.15492,0.30536,0.53241,1.25241,0.90141,0.84135,0.79765,0.98113,0.10911,0.80433,1.37299,0.98574,2.28,2.59429,0.69449,2.82022,0,0,0,0,0,0.39074,0.73531,1.44519,0.69236,0.88825,0.59577,0.92153,0.71056,0.80824,0.43614,0.68193,0.40044,0,0,0,0,0.04967,0.18943,0.18614,0.31902,0.1765,0.21781,0.2179
"k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae",8.48315,8.65069,18.09274,5.28748,4.47828,6.82503,4.8578,0,5.43763,0.91814,3.4894,3.43808,4.87386,4.67423,4.1651,4.23207,0.09881,0,0,0,0,0,0.00567,13.98827,2.67156,3.53947,3.46702,2.30861,3.87905,3.44269,4.13083,0.90271,6.86662,2.94992,0,0,2.80002,2.31466,2.18036,2.41635,2.3416,0.87449,27.05331,26.86095,5.84352,10.3535,13.33179,12.82282,18.81306,5.10493,35.47032,1.93842,6.22892,4.47191,2.50387,0.63915,0.77885,0,0.01866,0.03088,1.4619,1.62327,2.66685,1.05005,0,4.9799,1.00388,0,0,0,1.93234,7.08266,7.86741,12.24365,7.63282,3.22108,5.47912,4.96062,9.24339,6.77514,8.92146,5.19032,4.37835,2.43093,1.85487,2.17337,3.44472,2.56724,4.58723,2.85271,3.53528,1.81959,19.6669,4.07824,8.36125,6.21544,3.87021,3.70867,4.6358,0.365,1.08861,2.09244,2.9497,3.55153,2.51008,2.3289,4.83364,5.56036,7.92484,5.88729,7.85054,16.04061,3.66521,18.49371,11.90458,11.92134,23.28547,21.98865,19.97812,34.69679,0,0,0,0,0,0,0,22.04666,18.41542,11.63056,9.40658,7.11865,5.74916,10.32718,0,22.45733,8.62613,1.8508,10.99909,13.86315,14.14293,16.37779,8.18899,17.95314,10.85279,3.71459,0.45015,1.15897,1.44781,5.3926,2.89042,5.24356,16.8796,15.1383,14.73886,24.11841,23.88071,16.83265,15.39753,4.53598,7.56007,9.30888,3.42357,3.51911,0.913,0.62342,3.46082,2.09999,1.98035,2.32847,3.49597,0,0,0,0,0,4.17245,2.99984,2.2231,3.82882,5.20328,4.73397,2.39916,4.43384,8.07553,7.41188,5.99676,2.20173,12.98843,4.72311,0,0,0,0,0,0,0,0.01021,0.07366,0.00419,0.0019,29.25126,7.34248,7.05309,3.87242,5.71664,0.59406,0.43285,1.19362,2.53357,9.1035,6.55309,8.00371,3.68467,21.69725,8.29013,8.866,11.9442,4.09303,2.53346,2.86311,2.02878,1.53785,2.05101,4.63163
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified",0,0,0,0,0,0,0,0,0.0028,0,0,5.87505,9.30613,9.60429,9.83486,7.84961,0.24662,0.00139,0.10123,0.16273,0.09092,0.0579,0.13437,4.6527,3.38827,2.9128,5.19121,3.44646,2.0147,2.80571,0.70861,0,0.35594,0.79781,0,0,6.71396,3.22274,13.64447,5.95572,12.76786,1.33076,0,0,0,0,0,0,0,7.60413,44.46976,3.18865,7.57677,5.30773,4.54017,0,0,0,0,0,0,7.93236,14.07313,11.02353,0,18.58818,7.2892,0,0,0,16.10191,6.30526,6.47551,11.49253,9.325,4.76166,8.15352,6.09591,9.09727,7.81822,8.2778,5.64029,1.30748,0.59786,2.34941,3.23193,3.23281,2.85947,6.27269,2.39896,7.98432,3.96456,1.41164,2.48872,6.86463,5.7218,3.98648,5.26048,3.01375,0.35725,0.82871,1.36692,1.95764,1.65765,2.88844,3.31644,18.35096,19.49017,16.76777,15.52097,9.84894,0,0,0,1.64401,8.46609,14.57509,30.30998,37.28991,28.49589,0,0,0,0,0,0,0,0,0.00066,0.00235,0,0,0,8.92269,0,6.98681,2.39338,1.20386,2.62284,6.29111,5.48114,7.59331,2.41636,7.70964,3.84527,3.09103,0.8003,2.32318,1.37576,6.79743,1.16261,2.94416,8.73721,13.52935,11.24967,10.93818,11.87656,8.34491,6.68022,3.31251,9.21225,12.57141,5.5669,4.1619,1.64638,1.13364,12.66491,4.1815,2.9019,7.88159,12.85713,0,0,0,0,0,1.32254,1.86651,1.32664,2.19836,2.84189,2.86682,1.98975,6.10565,7.88784,5.42695,5.77387,1.09901,12.63033,5.34779,0,0,0,0,0,0,0,0.06189,0.13003,0.03054,19.07811,9.3314,5.06897,6.51304,7.18615,13.23172,0.21519,0.83951,2.18333,1.24899,4.53561,4.5102,5.67714,3.70478,8.75732,3.5386,4.96907,5.622,4.7684,10.8065,10.01219,10.4151,9.59493,7.12972,8.87677
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33957,0.11093,0.50285,0.15773,0.42092,0.00465,0,0,0,0,0,0,0,0,0,0,0.00652,0,2.10432,0,0,0,0,0,0,1.68174,2.01052,1.29113,0,2.89641,1.38406,0,0,0,1.51942,0,0,0,0,0,0.3239,0.48976,0.35775,0.71684,0.40282,0.0815,0,0,0.56691,0.93035,1.05563,0.68656,1.8781,0.11903,0.3865,0.15195,0.03444,0.07279,0.05716,0,0,0,0,0.02434,0.06056,0.10699,0.17915,0.11141,0.17636,0.72123,0.59755,0.61082,0.68546,0.2627,0.59111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26846,0.20603,1.1431,1.26021,0.28775,0.3836,0,0,0,0,0,0,0,0.24301,0.33029,0.05876,0.13118,0.07623,0.00406,0.0065,0.00774,0.01439,0,0.04815,0,0,0,0,0,0,0,1.01372,0.29689,0.40685,0.10175,0.59647,0.10598,0.03209,0.19338,0.09726,0.35131,0.27349,0.10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09704,1.58852,0.95939,1.06778,0.53963,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00529,0.00284,0.00427,0.00335,0.00374,0.00754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199,0,0,0.00316,0.00643,0.01926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20908,0.0359,0.02807,0.06681,0.02467,0.11003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05817,0.04342,0.01277,0.01026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae",0,0,0,0,0,0,0,0,0,0,0,0.09232,0.27721,0.14238,0.14587,0.12109,0.00703,1.50484,1.75011,1.83938,2.17308,1.7888,1.73578,0.21349,0.35727,0.35294,0.45859,0.21342,0.26556,0,0,0,0,0,0,0,0.13317,0.0355,0.19812,0.13716,0.19163,0,0,0,0,0,0,0,0,0,0,0,0.00279,0.12797,0.2927,0,0,0,0,0,0,0.24742,0.30977,0.17321,0,0.39045,0.19354,0,0,0,0.19366,0,0,0,0,0,0.07348,0.21508,0.14997,0.12989,0.25735,0.072,0.22916,0.06782,0.18884,0.28948,0.18178,0.23455,0.56613,0.35321,0.75739,0.42086,0.79583,0.27158,1.77749,0.85653,0.21539,0.1219,0.224,0.00198,0.08395,0.1275,0.3123,0.2361,0.32064,0.60524,0.42421,0.25347,0.30924,0.07896,0.37249,0,0,0,0.11647,1.6037,0,0,0,0,0,0,0,0,0,0,0,1.29491,2.58219,0.93859,0.38849,0.5827,0.23461,0.16596,0,0.5938,0.20351,0.06642,0.08816,0.38935,0.85901,0.21404,0.17663,0.21291,0.23092,0.42458,0.06789,0.23935,0.06672,0.15333,0,0.19347,0.32254,0.16286,0.19767,0.25182,0.5272,0.43196,0.20276,0.67092,0.54096,0.47599,0.28522,0.13542,0.11015,0.13971,0.44125,0.17359,0.26219,0.45781,0.42375,0,0,0,0,0,1.89833,0.868,0.81553,1.85823,0.77232,1.71247,1.06339,0.02656,0.07337,0.0947,0.06125,0,0.31435,0,0,0,0,0,0,0,0,0,0,0,0,0.32119,0,0,0,0,0,0,0,0.01275,0.1019,0.06265,0.17894,0.05956,0,0,0,0.06947,0,0.85285,1.47287,1.2048,0.73635,0.40415,0.51775
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01554,0.01083,0.00372,0,0.00303,0.0109,0.07074,0.69688,0,1.50158,0.08609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00094,0,0,0.00026,0,0,0,0,0,0,0.03815,0.00223,0,0.00038,0,0,0.00014,2e-05,0,0,0.03038,0.02873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00495,0,0,0,0,0,0,0,0,0,0,0,0,0.18407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297,0,0,0,0,0,0.00609,0,0.00122,0,0,0,0,0.04147,0,0,0,0,0,0,0,0.02082,0,10.70888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00764,0,0,0,0,0,0.00018,0,0,0
