"","GO_Pt1_Baseline","GO_Pt1_C1D1","GO_Pt1_C1D3","GO_Pt1_C1D7","GO_Pt1_C2D1","GO_Pt1_C3D1","GO_Pt1_Final","GO_Pt11_Baseline","GO_Pt11_C1D3","GO_Pt11_C1D7","GO_Pt11_C2D1","GO_Pt12_Baseline","GO_Pt12_C1D1","GO_Pt12_C1D3","GO_Pt12_C1D7","GO_Pt12_C2D1","GO_Pt12_C3D1","GO_Pt13_Baseline","GO_Pt13_C1D1","GO_Pt13_C1D3","GO_Pt13_C1D7","GO_Pt13_C2D1","GO_Pt13_C3D1","GO_Pt14_Baseline","GO_Pt14_C1D1","GO_Pt14_C1D3","GO_Pt14_C2D1","GO_Pt14_C3D1","GO_Pt14_Final","GO_Pt15_Baseline","GO_Pt15_C1D1","GO_Pt15_C1D3","GO_Pt15_C1D7","GO_Pt15_C2D1","GO_Pt16_Baseline","GO_Pt16_C1D1","GO_Pt17_Baseline","GO_Pt17_C1D1","GO_Pt17_C1D7","GO_Pt17_C2D1","GO_Pt17_C3D1","GO_Pt17_Final","GO_Pt18_Baseline","GO_Pt18_C1D1","GO_Pt18_C1D3","GO_Pt18_C1D7","GO_Pt18_C2D1","GO_Pt18_C3D1","GO_Pt18_Final","GO_Pt19_Baseline","GO_Pt19_C1D1","GO_Pt19_C1D3","GO_Pt19_C1D7","GO_Pt19_C2D1","GO_Pt19_C3D1","GO_Pt2_Baseline","GO_Pt2_C1D1","GO_Pt2_C1D3","GO_Pt2_C1D7","GO_Pt2_C2D1","GO_Pt2_C3D1","GO_Pt20_Baseline","GO_Pt20_C1D1","GO_Pt20_C1D3","GO_Pt20_C1D7","GO_Pt20_C2D1","GO_Pt20_C3D1","GO_Pt21_Baseline","GO_Pt21_C1D1","GO_Pt21_C1D3","GO_Pt21_C1D7","GO_Pt22_Baseline","GO_Pt22_C1D1","GO_Pt22_C1D3","GO_Pt22_C1D7","GO_Pt22_C2D1","GO_Pt23_Baseline","GO_Pt23_C1D1","GO_Pt23_C1D3","GO_Pt23_C1D7","GO_Pt23_C2D1","GO_Pt23_C3D1","GO_Pt24_Baseline","GO_Pt24_C1D1","GO_Pt25_Baseline","GO_Pt25_C1D1","GO_Pt25_C1D3","GO_Pt25_C2D1","GO_Pt25_C3D1","GO_Pt25_Final","GO_Pt29_Baseline","GO_Pt29_C1D1","GO_Pt29_C1D3","GO_Pt29_C2D1","GO_Pt29_C3D1","GO_Pt30_Baseline","GO_Pt30_C1D1","GO_Pt30_C1D3","GO_Pt30_C3D1","GO_Pt31_Baseline","GO_Pt31_C1D1","GO_Pt31_C1D3","GO_Pt31_C1D7","GO_Pt31_C2D1","GO_Pt31_C3D1","GO_Pt31_Final","GO_Pt32_Baseline","GO_Pt32_C1D1","GO_Pt32_C1D3","GO_Pt32_C1D7","GO_Pt32_C2D1","GO_Pt33_Baseline","GO_Pt33_C1D1","GO_Pt33_C1D3","GO_Pt33_C1D7","GO_Pt33_C2D1","GO_Pt33_Final","GO_Pt34_Baseline","GO_Pt34_C1D1","GO_Pt34_C1D3","GO_Pt35_Baseline","GO_Pt35_C1D1","GO_Pt35_C1D3","GO_Pt35_C1D7","GO_Pt35_C2D1","GO_Pt35_C3D1","GO_Pt35_Final","GO_Pt38_Baseline","GO_Pt38_C1D1","GO_Pt38_C1D3","GO_Pt38_C1D7","GO_Pt38_C2D1","GO_Pt38_C3D1","GO_Pt38_Final","GO_Pt39_Baseline","GO_Pt4_Baseline","GO_Pt4_C1D1","GO_Pt4_C1D3","GO_Pt4_C1D7","GO_Pt4_C2D1","GO_Pt4_C3D1","GO_Pt40_Baseline","GO_Pt40_C1D3","GO_Pt40_C1D7","GO_Pt40_C2D1","GO_Pt42_Baseline","GO_Pt42_C1D1","GO_Pt42_C1D3","GO_Pt42_C1D7","GO_Pt42_C2D1","GO_Pt42_C3D1","GO_Pt42_Final","GO_Pt43_Baseline","GO_Pt43_C1D1","GO_Pt43_C1D3","GO_Pt43_C1D7","GO_Pt43_C2D1","GO_Pt43_C3D1","GO_Pt43_Final","GO_Pt44_Baseline","GO_Pt44_C1D1","GO_Pt44_C1D3","GO_Pt44_C1D7","GO_Pt44_C2D1","GO_Pt45_Baseline","GO_Pt45_C1D1","GO_Pt45_C1D3","GO_Pt45_C1D7","GO_Pt45_C2D1","GO_Pt45_C3D1","GO_Pt45_Final","GO_Pt47_Baseline","GO_Pt47_C1D1","GO_Pt47_C1D3","GO_Pt47_C1D7","GO_Pt47_C2D1","GO_Pt50_Baseline","GO_Pt50_C1D1","GO_Pt50_C1D3","GO_Pt50_C1D7","GO_Pt50_C2D1","GO_Pt50_C3D1","GO_Pt50_Final","GO_Pt51_Baseline","GO_Pt51_C1D1","GO_Pt51_C1D3","GO_Pt51_C1D7","GO_Pt51_C2D1","GO_Pt51_C3D1","GO_Pt51_Final","GO_Pt52_Baseline","GO_Pt52_C1D1","GO_Pt52_C1D3","GO_Pt52_C1D7","GO_Pt52_C2D1","GO_Pt52_C3D1","GO_Pt52_Final","GO_Pt53_Baseline","GO_Pt53_C1D1","GO_Pt53_C1D3","GO_Pt53_C1D7","GO_Pt53_C2D1","GO_Pt54_Baseline","GO_Pt54_C1D1","GO_Pt54_C1D3","GO_Pt54_C1D7","GO_Pt54_C2D1","GO_Pt54_C3D1","GO_Pt54_Final","GO_Pt6_C1D1","GO_Pt6_C1D3","GO_Pt6_C1D7","GO_Pt6_C2D1","GO_Pt6_C3D1","GO_Pt7_Baseline","GO_Pt7_C1D1","GO_Pt7_C1D3","GO_Pt7_C1D7","GO_Pt7_C2D1","GO_Pt9b_Baseline","GO_Pt9b_C1D1","GO_Pt9b_C1D3","GO_Pt9b_C2D1","GO_Pt9b_C3D1","GO_Pt9c_C1D3"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08649,0.00539,0.01419,0.01343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35752,1.62893,0.55788,0.14878,0.28537,0.81821,0.50377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2778,0.05637,2.49881,0.21359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22427,1.70195,4.00424,2.21575,7.44214,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33904,0.0892,1.06492,0.19644,0.29924,0.04964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04031,0.33961,0.96823,0.72772,2.37867,0.50363,0,0,0,0,0,0,0,0,1.2861,1.00086,0.94941,0.65873,0.13011,0,0,0,0,0.16656,0.37609,0.48959,0.3365,0.64146,0.39016,0.84814,0.51138,0.82699,0.61542,2.11301,0.80393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72474,0.03333,0.98558,0.06267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38776,0.12598,0.7456,0.66067,0.54175,0.64173,1.21962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella",0,0.02112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00504,0,0,0,0,0,0,0.00722,0.02071,0.00278,0.00478,0.00087,0.05843,0.05184,0.0031,0,0,0,0,0,0,3.99075,1.8377,4.33156,2.74546,3.75514,0,0,0,0,0,0,0,0,8.98278,0,7.59678,7.56762,10.16194,5.99539,27.29836,28.67138,0.07174,1.65042,0.01531,33.17415,0,0,0,0,0,0.00232,12.14427,11.09784,1.20639,0,0,0.00238,0,0,0.00867,0,0,0,0.00085,0,0,0.00392,0,2.18837,2.03917,0.1041,0.67063,0.11451,0.40019,0,0,0.10219,0.0442,0,0.02262,0.02776,0.0026,0,25.82115,32.68935,4.62157,1.06531,11.07907,3.77653,6.42014,0,0,0,0,0,0,0.19947,0.06036,0.00179,0.00234,0,0,0,0,0.21271,0,0,0,0.00098,0,0,0.2125,0.05539,0.03668,0,0,0.00101,0,0,0.00302,0.0193,0,0,0,0.00155,0.00106,0.02276,0,0,10.816,39.16552,14.20085,39.07489,7.46817,51.48259,26.7282,0,0,0,0,0,0.03104,0,0.01189,3.92165,1.8314,5.19993,14.49457,5.55249,11.68217,1.02932,22.05301,23.0437,24.81516,10.53858,0,0,0,0,0,0,0,0,0,0,0.00215,0,0,0,0,0.04781,0,0,0,0.0245,0,0.26995,0.00371,0,0,0,0.07398,1.58566,9.20136,0,0,0,0.0084,0,0,0,0,0,0,0,0,0,0,0.00943,0.03228,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes",3.1467,1.52814,1.30203,0.02675,1.22603,1.12309,1.53296,0,0.00064,0,0,3.11378,2.72914,2.39844,2.04553,1.5927,0.46166,2.78038,3.15036,2.69093,2.91478,3.17057,3.08319,2.32934,8.03392,7.09232,10.50631,3.92675,3.85226,12.24421,12.79875,96.06206,23.33018,15.33129,0,0,0.90621,0.53278,1.07778,1.1414,0.81617,0.00411,0,0,0,0,0,0,0,0,0,0,0.25489,1.44823,9.16794,0,0,0,0,0,0,6.01214,4.02892,3.72507,0,4.42953,6.83912,0,0,0,4.01137,3.14462,4.15222,3.20748,0.3923,3.31256,1.15975,3.13275,2.04221,1.72982,3.21065,2.08326,8.03041,2.47006,5.14796,4.68821,5.78553,8.75702,6.66612,0.81019,3.6498,1.79839,2.59254,1.39472,5.86798,3.9598,0.5694,0.71208,0.85768,0.04877,0.21003,0.54417,1.52205,1.11202,0.86316,1.72647,0.75956,0.39412,0.47289,0.17488,0.51625,0,0,0,0.47783,2.51862,4.09015,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03496,4.33028,1.64567,2.45099,0,0.83037,0.95785,3.80348,1.73586,8.28715,12.39996,4.64032,4.23527,2.1833,6.16974,1.38503,0.07988,0.5518,0.18639,0.52609,0,0.19243,2.83466,0.96913,1.70742,1.94751,3.68761,1.30997,0.22588,6.32917,1.87817,6.1156,5.9192,8.18212,0.62915,0.50585,1.61319,0.83586,1.62383,1.272,1.30109,0,0,0,0,0,3.56282,2.04779,1.80264,2.67058,1.37866,2.50484,1.41778,0.15209,0.31192,0.15411,0.13092,0,0.42006,0.00205,0,0,0,0,0,0,0,0,0,0,0,1.80015,0.02185,0.03791,0.13486,0.03165,0.01418,0.01052,0.00583,0.30249,3.86195,1.49638,7.74936,0.58383,0,0.00317,0,0.51459,0.04369,7.49386,8.56788,8.38412,14.86957,4.27804,5.52663
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB1681",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01235,0.00622,0.01987,0.04995,0.04839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10148,1.90594,1.45175,2.23565,2.20796,2.4234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenellaceae_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09095,0.36812,1.62831,3.98706,2.3792,2.42138,0.83892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19108,0.08355,0.01968,2.12077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14238,0.08299,0.07406,0.10879,0.04302,0.33475,0.02703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__GGB1407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50085,0.0092,0.06798,0.06563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides",3.43536,3.16592,5.37296,4.21122,2.20783,1.23869,1.00803,0,0,0,0,0.19501,0.39829,0.38404,0.48962,0.30013,0.05606,0,0,0,0,0,0,1.24201,1.23959,1.34186,1.54445,0.96194,2.04986,1.98995,2.42343,0,3.48974,2.1834,0,0,0.61068,0.33257,1.01719,0.53109,0.58058,0.2898,0,0,0,0,0,0,0,0,0,0,0.02403,0,0.95043,1.63322,1.38375,0,0.27777,0.20931,2.02309,1.10043,1.66631,0.87862,0,2.27497,1.04324,0,0,0,1.53558,3.38139,3.37354,6.30172,3.19566,1.96373,1.2479,0.86709,1.17708,2.26984,1.28169,1.51669,0.89578,0.4704,0.38231,0.47602,0.76308,0.23004,0.77796,0.69438,0.50609,0.42734,0.82885,0.80344,0.93402,0.17607,0.11848,0.08022,0.0347,0.04441,0.17183,0.40958,0.6355,0.78328,0.57788,0.43148,0.44112,0.43731,0.82298,0.7835,0.6915,3.13403,1.0143,17.11376,13.62532,8.85044,3.46699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77669,0,2.40771,1.57068,0.36976,2.00567,2.62649,1.80202,0.45287,0.3742,0.4237,0.255,0.64246,0.08087,0.18956,0.23915,0.9479,0.16557,0.24606,0.23339,0.22553,0.46016,0.50182,0.39728,1.0616,0.11702,1.13656,1.98433,2.35316,1.73744,1.59027,0.24173,0.26179,1.92502,1.16644,0.93754,1.0987,0.79343,0,0,0,0,0,0.54512,0.55056,0.52529,0.39625,0.40284,0.55475,0.17077,0.92731,1.47268,0.80694,0.38175,0.13059,0.93962,0.35481,0,0,0,0,0,0,0,0.00315,0.00436,0.00357,0,1.07392,0.16066,0.11236,0.44423,1.11343,0.00129,0.01612,0.02571,0.23829,1.20254,0.48844,0.9249,0.5504,0,0,0,0.03887,1.36684,2.89547,4.43507,4.06937,1.55487,0.57245,0.61696
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae|g__GGB58233",0.00192,0.00097,0.004,0,0.00418,0.0039,0.00134,0,0,0,0,0,0,0,0,0,0,0,0.00047,0.00043,0,0.00048,0.00036,0,0,0,0,0,0.00149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00336,0.00114,0,0,0,0,0,0,0.00996,0.01031,0.00488,0,0.01285,0.00986,0,0,0,0.00928,0,0,0,0,0,0,0,0,0,0,0,0.00236,0.00285,0,0.00035,0.00025,0.00094,0.00037,0.00046,0.00147,0.00245,0.00088,0.00048,4e-05,0.00747,0.00473,0.00281,0.009,0,0,0,0,0,0,0,0.00698,0.00594,0.00628,0.00135,0.00491,0,0,0,0,0.02523,0.00423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032,0.00182,6e-04,0.001,0,0,0,0,0,0,0,0.01012,0.00184,0.00888,0.0107,0.01977,0.012,0,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,0,0,0,0,0,0,0.00013,0,0,0,0,0.00966,0.0305,0.02719,0.01936,0.01863,0.01504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00312,0.00883,0.00524,0.01027,0.00253,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB12541|o__OFGB12541|f__FGB12541|g__GGB35550",0,0,0,0,0,0,0,0,0,0,0,0.2004,0.72938,0.38758,0.54955,0.37768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425|f__FGB4425|g__GGB27919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37575,0.3883,0.18923,0.13023,0.13016,0.09637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425|f__FGB4425|g__GGB27924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47065,0.52235,0.46665,0.22375,0.02774,0.1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB602|o__OFGB602|f__FGB602|g__GGB1420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09606,0.02184,0.04594,0.10729,0.21269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15156,0.22117,0.14141,0.17591,0.20024,0.32104,0.13371,0.05505,0.08372,0.04819,0.0385,0,0,0,0,0.00752,0.11432,0.18234,0.29383,0.11888,0.31054,0.39293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB618|o__OFGB618|f__FGB618|g__GGB1456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00286,0.00729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119,0.00701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637|f__FGB637|g__GGB1559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19553,0.27728,0.33105,0.1078,0.03456,0.03003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__CFGB637|o__OFGB637|f__FGB637|g__GGB27859",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016,0.00276,0.00425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
