"","GO-Pt20-C1D3","GO-Pt6-C3D1","GO-Pt6-C1D3","GO-Pt15-C1D3","GO-Pt20-C3D1","GO-Pt18-C3D1","GO-Pt20-Baseline","GO-Pt14-Baseline","GO-Pt14-C1D3","GO-Pt18-Baseline","GO-Pt18-C1D1","GO-Pt11-Baseline","GO-Pt14-C2D1","GO-Pt17-C2D1","GO-Pt13-Baseline","GO-Pt13-C2D1","GO-Pt11-C1D7","GO-Pt21-Baseline","GO-Pt4-C3D1","GO-Pt6-C2D1","GO-Pt4-C1D3","GO-Pt2-C2D1","GO-Pt18-C1D7","GO-Pt7-Baseline","GO-Pt1-C1D1","GO-Pt19-Baseline","GO-Pt2-Baseline","GO-Pt12-C2D1","GO-Pt20-C1D1","GO-Pt11-C1D3","GO-Pt11-C2D1","GO-Pt18-C2D1","GO-Pt7-C1D3","GO-Pt9c-C2D1","GO-Pt17-Baseline","GO-Pt7-C2D1","GO-Pt12-C1D3","GO-Pt2-C1D7","GO-Pt13-C1D7","GO-Pt9c-Baseline","GO-Pt12-Baseline","GO-Pt4-C1D1","GO-Pt2-C1D3","GO-Pt1-C1D7","GO-Pt17-C1D7","GO-Pt7-C1D1","GO-Pt15-C1D1","GO-Pt12-C3D1","GO-Pt1-C2D1","GO-Pt9c-C1D1","GO-Pt15-Baseline","GO-Pt20-C1D7","GO-Pt1-Baseline","GO-Pt21-C1D7","GO-Pt6-C1D1","GO-Pt13-C3D1","GO-Pt15-C2D1","GO-Pt13-C1D3","GO-Pt14-C3D1","GO-Pt15-C1D7","GO-Pt4-Baseline","GO-Pt19-C2D1","GO-Pt21-C1D1","GO-Pt14-C1D1","GO-Pt13-C1D1","GO-Pt20-C2D1","GO-Pt19-C1D7","GO-Pt7-C1D7","GO-Pt21-C1D3","GO-Pt2-C3D1","GO-Pt12-C1D1","GO-Pt19-C1D3","GO-Pt17-C1D1","GO-Pt19-C3D1","GO-Pt4-C2D1","GO-Pt6-C1D7","GO-Pt18-C1D3","GO-Pt12-C1D7","GO-Pt2-C1D1","GO-Pt1-C1D3","GO-Pt35-C2D1","GO-Pt34-C1D1","GO-Pt50-C1D7","GO-Pt38-Baseline","GO-Pt42-C2D1","GO-Pt23-C1D7","GO-Pt23-C1D3","GO-Pt33-C1D1","GO-Pt30-C1D3","GO-Pt32-C2D1","GO-Pt32-Baseline","GO-Pt35-C1D3","GO-Pt43-C1D1","GO-Pt25-C1D1","GO-Pt34-C1D3","GO-Pt22-C1D7","GO-Pt45-C1D7","GO-Pt32-C1D1","GO-Pt42-Final","GO-Pt29-C1D1","GO-Pt30-Baseline","GO-Pt42-C1D3","GO-Pt45-C1D3","GO-Pt43-C2D1","GO-Pt31-C1D1","GO-Pt14-Final","GO-Pt35-C1D7","GO-Pt44-C1D3","GO-Pt42-C1D1","GO-Pt38-C1D3","GO-Pt17-C3D1","GO-Pt44-Baseline","GO-Pt44-C1D1","GO-Pt25-Baseline","GO-Pt25-C3D1","GO-Pt29-C2D1","GO-Pt33-Final","GO-Pt31-C1D3","GO-Pt47-C1D3","GO-Pt43-C1D3","GO-Pt22-C2D1","GO-Pt45-C3D1","GO-Pt42-Baseline","GO-Pt23-C2D1","GO-Pt33-C2D1","GO-Pt38-Final","GO-Pt50-C1D1","GO-Pt31-C3D1","GO-Pt34-Baseline","GO-Pt17-Final","GO-Pt50-C3D1","GO-Pt39-Baseline","GO-Pt32-C1D3","GO-Pt35-C1D1","GO-Pt31-Baseline","GO-Pt24-Baseline","GO-Pt23-Baseline","GO-Pt47-Baseline","GO-Pt45-Final","GO-Pt35-C3D1","GO-Pt40-Baseline","GO-Pt30-C3D1","GO-Pt32-C1D7","GO-Pt29-C1D3","GO-Pt45-C2D1","GO-Pt45-C1D1","GO-Pt9c-C1D3","GO-Pt16-Baseline","GO-Pt35-Final","GO-Pt25-C1D3","GO-Pt50-C1D3","GO-Pt9b-C2D1","GO-Pt22-C1D3","GO-Pt23-C3D1","GO-Pt38-C1D7","GO-Pt25-Final","GO-Pt31-Final","GO-Pt23-C1D1","GO-Pt9b-C1D1","GO-Pt24-C1D1","GO-Pt38-C2D1","GO-Pt35-Baseline","GO-Pt42-C3D1","GO-Pt50-C2D1","GO-Pt30-C1D1","GO-Pt9b-C3D1","GO-Pt33-C1D3","GO-Pt43-Baseline","GO-Pt25-C2D1","GO-Pt47-C1D1","GO-Pt50-Final","GO-Pt42-C1D7","GO-Pt38-C3D1","GO-Pt40-C1D3","GO-Pt47-C2D1","GO-Pt29-Baseline","GO-Pt22-Baseline","GO-Pt43-C1D7","GO-Pt16-C1D1","GO-Pt44-C2D1","GO-Pt22-C1D1","GO-Pt29-C3D1","GO-Pt38-C1D1","GO-Pt31-C2D1","GO-Pt47-C1D7","GO-Pt9b-Baseline","GO-Pt33-C1D7","GO-Pt45-Baseline","GO-Pt31-C1D7","GO-Pt43-C3D1","GO-Pt33-Baseline","GO-Pt50-Baseline","GO-Pt9b-C1D3","GO-Pt43-Final","GO-Pt40-C1D7","GO-Pt44-C1D7","GO-Pt51-Baseline","GO-Pt51-C1D1","GO-Pt51-C1D3","GO-Pt51-C1D7","GO-Pt51-C2D1","GO-Pt51-C3D1","GO-Pt51-Final","GO-Pt52-Baseline","GO-Pt52-C1D1","GO-Pt52-C1D3","GO-Pt52-C1D7","GO-Pt52-C2D1","GO-Pt52-C3D1","GO-Pt52-Final","GO-Pt54-Baseline","GO-Pt54-C1D1","GO-Pt54-C1D3","GO-Pt54-C1D7","GO-Pt54-C3D1","GO-Pt54-Final","GO-Pt53-Baseline","GO-Pt53-C1D1","GO-Pt53-C1D3","GO-Pt53-C1D7","GO-Pt53-C2D1","GO-Pt1-C3D1","GO-Pt1-Final"
"2c982937754e6321f861027032db80f7",384,0,0,0,56,0,53,0,0,0,0,0,0,0,0,0,0,0,866,0,17,0,0,0,188,546,0,0,2423,0,0,0,0,135,0,0,0,0,0,48,0,836,0,747,0,0,0,0,1566,148,0,890,742,0,0,0,0,0,0,0,0,673,0,0,0,987,816,0,0,0,0,461,0,311,954,0,0,0,0,591,0,2481,17,0,0,0,0,0,0,0,0,0,328,0,1605,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967,0,0,0,0,0,0,48,0,1630,0,74,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,48,0,0,0,31,39,0,0,0,0,0,0,129,15,0,0,0,83,0,43,0,569,0,0,79,0,0,0,0,0,0,1791,0,0,0,0,0,0,0,108,0,0,0,730,0,81,59,2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0
"45c80843dac191f771b11018ff90d94c",0,144,1557,0,0,0,0,0,301,0,0,0,344,0,0,0,0,0,0,1170,0,0,0,0,0,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2378,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,536,0,1359,2485,0,532,0,0,2168,0,0,10,0,2773,0,0,0,1479,0,0,0,0,0,0,0,0,0,0,0,0,0,48,242,0,0,0,0,8,0,187,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,12,0,0,0,458,0,0,23,0,0,0,0,0,0,11,0,0,0,0,152,0,57,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,356,0,0,0,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2353,0,0,0,1768,0,0,85,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8795c5a86013864dc11f24b89e8cdd8c",0,22,165,5701,15,0,0,0,0,0,0,0,0,115,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,0,0,0,0,45,0,0,0,0,62,0,7210,0,34,23,4146,0,125,0,22,0,2553,0,0,2939,0,139,0,0,0,0,0,0,0,0,0,0,18,93,0,81,0,0,0,94,0,0,16,0,14,0,0,0,18,0,0,0,0,25,0,0,9,0,0,0,519,8,16,0,0,0,0,41,0,0,0,242,75,0,19,0,0,0,0,0,0,65,28,54,0,0,10,7,0,0,65,0,0,0,0,765,0,0,14,0,63,138,0,0,54,0,8,0,0,51,21,52,0,79,0,0,142,24,61,1041,0,0,0,76,19,25,0,0,22,0,16,0,0,186,0,0,0,0,0,44,0,0,0,0,0,24,0,13,0,0,0,13,68,0,81,11,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"df14354ec277348c54d0c9dd49eb4da0",0,603,1089,0,0,0,12,34,159,0,0,0,166,669,0,0,0,0,0,1842,0,0,0,0,7,0,0,0,81,0,0,0,0,1209,85,0,0,0,0,449,0,0,0,0,26,0,48,0,0,730,1276,8,29,0,4571,0,132,0,406,0,0,0,0,401,0,19,31,0,0,0,0,0,403,0,0,2922,0,0,0,20,0,0,17,0,0,0,0,0,0,0,116,0,0,178,0,0,0,124,0,119,0,0,0,0,13,47,0,4,0,0,11,103,47,33,46,0,0,1038,0,0,0,0,4,0,0,0,33,793,0,0,53,0,27,0,0,0,0,0,0,0,156,0,0,102,0,0,548,0,0,67,54,0,0,0,0,82,2395,0,6,0,0,0,0,325,0,33,0,0,293,0,70,0,0,179,0,249,0,0,0,7,0,103,0,848,0,0,0,0,1935,0,0,0,0,0,242,23,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"332a6411ff00b4010ac2397f504c4695",956,0,0,0,519,0,117,150,370,0,0,3,659,259,623,545,0,0,0,0,0,0,0,0,0,0,0,0,3983,0,0,0,0,646,151,0,0,0,877,603,0,0,0,0,258,0,0,0,0,579,0,841,0,0,0,456,0,792,294,0,0,0,0,930,1404,679,58,0,0,0,0,0,88,794,0,0,0,0,0,0,0,0,127,0,24,164,53,0,0,0,0,0,101,249,0,0,112,0,12,132,0,46,187,123,0,142,0,117,12,0,30,40,0,43,454,61,0,14,0,237,0,122,190,301,0,0,94,0,0,0,192,0,0,0,0,0,67,0,110,0,88,0,0,311,110,15,379,0,0,273,145,125,0,210,0,0,21,237,287,0,0,0,0,271,0,396,0,388,124,0,127,12,0,304,0,622,0,395,0,261,0,855,0,9,0,151,0,54,18,242,0,166,277,0,58,92,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9acb555d3c5dd77e9035a661e7ad1bb6",0,0,662,110,0,0,0,460,21,0,0,70,487,0,8,0,20,85,0,101,0,30,12,79,27,666,213,62,0,0,26,0,9,0,9,0,0,145,0,0,0,0,229,0,0,91,774,232,0,0,97,0,81,0,640,0,645,9,104,57,90,787,44,174,0,8,58,0,0,6408,8,550,0,1000,0,64,18,0,1066,0,0,0,0,35,0,0,0,42,22,0,0,0,0,0,0,0,317,3,0,26,216,0,53,0,301,434,0,191,0,0,0,423,385,0,116,0,0,426,0,0,64,0,47,0,80,77,0,0,19,656,0,156,0,0,942,14,67,0,0,0,12,34,24,86,6,25,0,9,0,0,0,145,20,9,5,0,22,24,0,31,216,0,0,0,89,418,0,0,244,0,0,0,61,110,0,50,58,0,38,248,74,74,0,0,0,80,6,453,5,0,91,0,0,0,727,636,0,0,0,0,0,0,0,145,69,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"315ca0a729f126b941ba111a16d4d97a",0,0,0,0,0,8709,0,0,0,875,748,0,0,0,1065,698,0,0,0,0,0,0,868,0,0,0,0,1128,0,0,0,2436,0,0,0,0,1081,0,1522,0,733,0,0,0,0,0,0,1110,0,0,0,0,0,0,0,1947,0,249,0,0,0,0,0,0,753,0,0,0,0,0,247,0,0,0,0,0,1251,1437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,119,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"629f41c0de31ba20f5d2b3f4c69e09c1",175,22,21,873,107,0,13,65,0,0,0,205,45,6,121,143,356,470,116,35,1241,179,0,0,316,0,31,94,476,273,144,0,0,22,0,0,97,13,208,11,156,680,16,1120,0,0,1149,318,1878,11,653,215,1475,389,27,86,452,85,0,276,47,0,262,30,194,279,0,0,234,91,58,0,0,0,228,20,0,122,57,416,416,0,0,34,10,4,0,106,19,0,0,278,61,0,0,145,0,37,0,21,81,0,0,29,0,0,330,0,0,101,0,0,0,0,4,21,0,0,321,69,788,0,0,0,194,32,0,0,0,8,0,0,79,292,0,78,0,0,0,633,0,46,31,0,0,0,4,0,1052,0,0,0,251,7,18,0,0,0,0,257,32,537,0,0,59,5,98,104,0,232,14,0,13,15,110,22,414,88,0,0,461,80,185,0,137,0,90,0,0,91,88,0,0,29,0,0,48,96,47,40,16,64,19,0,0,0,0,0,0,0,37,15,101,25,34,0,0,0,0,0,0,447,216
"db7f42d2a4ded289e177bb4c00edff61",0,116,11,0,128,0,53,34,295,0,0,50,194,223,2006,460,15,0,215,84,0,0,0,0,0,0,0,511,284,130,0,0,0,305,154,0,371,0,556,417,728,331,0,0,53,0,0,0,0,1387,183,21,0,0,18,435,0,1076,45,0,0,0,0,927,3364,46,0,0,0,0,544,0,61,0,167,31,0,1030,0,0,0,0,74,0,46,18,0,0,0,0,681,0,7,39,0,0,0,644,112,20,16,0,0,136,0,18,0,0,0,0,89,12,0,0,20,112,0,0,0,7,0,0,0,106,0,0,151,0,0,0,218,0,66,0,14,0,15,0,0,0,33,32,0,19,24,0,45,0,0,0,88,291,0,0,0,0,0,0,311,0,0,0,8,424,0,90,0,17,0,0,27,0,0,0,0,190,332,242,0,0,224,320,0,0,0,200,0,34,34,15,0,72,206,0,9,14,86,21,0,0,0,22,0,0,0,0,0,0,0,0,1861,165,15,0,0,18,331,239,217,1544,16,0,0
"ca94cbcccd3ab51b3784a6aed45a4a04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5702,0,0,0,0,0,0,0,0,5677,0,0,0,2508,0,0,0,0,0,0,6963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626,0,0,0,0,0,0,4055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21401b105dc53b367b8fdc0ec97a9f02",1251,0,0,0,669,0,161,306,335,0,0,0,539,727,0,0,0,0,257,0,155,0,0,10,0,749,0,685,3749,0,0,0,0,0,387,197,639,0,0,0,478,532,0,0,791,6,0,0,0,0,0,1242,0,0,0,0,0,0,167,0,879,1207,0,419,0,743,737,155,0,0,626,537,131,521,407,0,0,886,0,0,0,0,0,0,311,260,68,0,0,0,0,0,0,121,0,0,0,0,131,24,0,272,0,0,0,61,0,30,557,0,60,141,150,15,8,45,0,0,0,0,0,0,347,189,0,0,0,0,0,14,0,0,0,0,0,0,353,0,0,0,0,0,0,5,0,0,0,0,0,80,0,0,0,113,0,77,0,110,0,0,0,0,564,0,0,0,0,0,54,0,0,287,0,0,0,180,0,0,0,309,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,14,265,39,21,42,0,251,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44396f15b10f6577d61a11c6047c939f",0,0,0,767,0,0,0,0,0,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,15,0,0,0,0,2458,0,46,0,0,0,0,4043,0,0,899,1123,0,0,4,0,0,1721,0,0,499,0,0,0,0,0,0,23,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,736,0,0,5,0,0,139,0,0,36,0,15,774,0,0,0,0,0,0,0,132,164,61,0,561,0,0,0,0,0,0,0,0,338,282,0,0,560,0,0,0,0,312,0,0,0,0,21,0,0,129,0,17,155,0,0,822,828,201,0,0,0,53,433,0,223,1820,0,0,0,692,0,41,0,0,381,0,541,0,0,857,0,61,0,0,0,0,0,365,0,522,0,74,0,19,859,0,0,191,340,0,239,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5fbc483f79cd97d3a7253931f37c33e8",217,34,7,130,214,559,26,347,45,513,1114,51,43,15,46,0,27,840,112,29,63,9,179,0,97,147,0,95,937,92,70,391,136,0,0,0,115,0,23,17,71,540,0,9,14,39,482,0,386,14,104,242,118,543,0,5,13,30,28,71,281,679,382,33,34,140,367,2511,198,0,102,212,11,345,152,8,1470,147,9,307,0,0,0,61,35,12,0,789,13,7,0,0,34,13,0,111,5,9,9,10,71,4,0,15,5,8,0,22,0,54,0,81,23,0,0,33,156,40,0,40,276,30,10,11,445,348,0,0,0,0,0,0,59,0,0,8,35,0,36,0,8,40,29,38,0,0,0,2,0,3,0,4,158,15,80,0,23,64,0,23,159,0,0,0,116,0,1078,116,7,0,0,0,83,0,0,15,144,51,0,0,54,55,122,10,0,4,268,0,14,174,518,0,0,18,0,14,68,35,37,30,13,54,0,466,381,452,303,135,30,17,37,62,144,78,12,13,197,247,192,357,127,40,36
"edc9e5c16e40aff1eadce6597940f08f",0,0,0,0,0,0,0,14,80,27,0,61,36,24,35,38,202,33,193,0,0,4179,21,21,31,259,162,44,202,47,339,23,31,40,35,626,69,1230,35,25,45,38,92,147,14,32,0,218,46,64,16,16,92,728,24,31,42,85,20,0,40,429,10,30,141,0,522,137,18,942,30,1067,133,250,978,15,96,61,1284,147,55,21,26,0,9,18,0,37,0,31,8,15,11,0,34,1050,45,59,16,281,0,0,97,0,13,0,102,34,87,44,0,0,13,0,0,324,0,15,39,0,61,41,0,21,26,21,24,0,15,132,28,0,35,30,158,26,30,322,37,63,0,20,316,145,0,19,107,232,115,0,61,0,64,29,0,0,0,19,14,68,0,0,10,73,0,21,65,11,0,82,32,13,15,27,116,559,81,51,663,49,70,805,10,0,137,0,31,44,0,12,0,28,20,52,495,33,27,28,31,54,0,31,32,24,52,13,41,11,0,66,13,0,110,259,40,85,0,0,14,15,0,17,104
"2c0c62ea09b2efe01bacdcbcf558d2b8",0,59,90,0,0,0,0,0,0,0,0,0,0,192,351,175,0,0,0,95,0,0,0,0,0,0,0,812,0,0,0,0,0,133,240,0,959,0,394,54,1059,0,0,0,485,0,0,136,0,249,0,0,0,0,81,353,0,295,0,0,0,0,0,0,592,0,18,0,0,0,565,0,59,0,0,221,0,877,0,0,0,0,11,0,806,377,85,0,332,0,0,0,490,0,0,0,483,0,694,0,13,404,745,265,20,12,0,46,180,0,79,0,227,0,0,0,0,37,0,613,0,1377,300,395,0,0,51,14,0,16,84,0,0,0,23,0,238,0,783,0,50,44,0,0,164,74,101,0,0,0,17,23,0,505,0,0,472,172,43,0,0,0,624,190,238,51,0,813,0,0,23,295,0,31,0,0,0,1283,0,526,0,52,0,56,0,24,0,365,61,1711,0,8,0,394,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"782a79a0725adc6ac22fc1fd15933a12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,0,0,0,0,0,0,0,0,463,0,0,0,0,404,0,0,1093,0,0,1076,0,0,0,746,0,0,0,0,84,480,0,0,3454,0,0,0,0,1339,0,0,0,0,644,0,0,0,0,0,0,1846,0,0,0,0,0,320,0,0,0,0,0,0,0,0,530,0,0,0,0,0,136,2391,0,0,0,0,0,591,0,0,0,0,0,124,0,0,1222,0,2281,0,0,0,0,0,0,0,0,0,1880,0,0,0,0,3049,0,0,0,0,0,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5edd946e0a26ae1c85ed8c498c328387",0,0,0,0,0,0,0,0,0,0,0,0,0,959,235,421,0,0,0,0,0,0,0,0,0,253,0,372,0,0,0,0,0,0,985,0,233,0,317,0,483,0,0,0,1366,0,0,49,0,0,0,0,0,0,0,434,0,308,0,0,0,7406,0,0,610,0,442,0,0,0,370,313,818,1220,0,0,0,444,0,0,0,0,0,0,0,136,81,0,0,83,0,0,0,91,0,0,0,157,0,1030,0,0,0,0,0,0,0,50,0,0,95,53,165,0,96,190,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,113,0,0,0,182,0,0,0,0,0,171,179,0,0,0,0,0,66,0,0,0,158,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1769,0,0,0,221,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,234,192,392,1169,137,0,0,0
"9db6065dfa5f306778c1a370f3267d73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4909,0,0,0,0,0,0,0,0,6436,0,0,0,3430,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3675,0,0,0,0,0,0,7455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6ec1023583647a401269990c4e8ad716",0,0,0,0,0,176,0,0,0,762,96,0,0,63,73,43,0,1459,0,0,0,0,31,0,0,307,0,211,0,0,0,414,0,414,13,0,439,0,27,201,1417,0,0,0,43,0,0,0,41,294,25,0,0,4780,0,129,0,8,0,0,0,248,869,0,28,0,83,0,213,0,724,91,14,115,0,0,355,646,0,1402,0,0,0,224,0,0,0,0,0,0,0,0,23,0,0,0,27,0,0,0,0,0,144,0,336,26,0,0,0,214,0,0,0,0,0,0,0,132,0,66,0,102,0,0,0,148,0,15,0,0,0,0,0,0,358,0,0,0,85,0,41,0,0,0,94,58,111,1059,0,0,0,98,0,0,233,15,171,0,121,0,188,0,0,0,0,476,0,27,53,0,0,0,84,75,0,0,0,0,481,9,0,0,109,141,0,93,0,160,28,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,66,271,1105,801,1198,71,5,34
"878fc53ff6f6333a92673b700951fa1b",821,26,28,0,719,0,153,495,506,0,0,0,852,77,0,6,0,0,192,29,0,0,0,0,0,0,45,0,5072,0,0,0,0,156,73,3638,0,0,0,89,0,618,0,0,110,0,0,0,0,141,0,1303,0,0,0,0,0,0,443,0,331,0,0,634,0,1098,0,55,0,168,0,0,63,0,240,0,0,0,179,0,0,0,107,0,75,15,0,0,14,0,0,0,0,0,0,0,0,0,0,43,95,25,0,0,46,437,0,0,22,0,0,42,61,0,0,38,0,216,0,0,0,0,142,0,0,144,199,91,0,32,207,0,0,0,9,133,0,0,0,0,0,30,0,0,0,0,79,0,0,0,313,124,0,24,0,0,236,0,390,317,0,0,0,364,52,86,0,0,0,0,76,28,0,84,0,133,0,0,0,42,0,131,0,340,0,200,0,0,398,0,0,197,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,39,129,273,7,2,5,0,0,0,139,0,0
"8df399e29acb5a583f449a82db4e17c9",0,1319,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3194,0,1777,0,0,0,0,0,0,0,0,0,0,0,0,0,9163,0,355,0,0,0,0,3436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,23,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,4637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,134,261,0,84,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"8538d07b8c1e8676f9b9c8c242aab14a",790,0,0,0,1086,82,166,0,0,1202,1401,0,0,0,0,105,0,214,137,0,451,0,133,0,0,813,0,0,3101,0,0,154,0,0,0,0,0,0,0,0,0,1223,0,0,0,0,0,0,12,0,0,1036,0,27,0,307,0,0,0,0,556,1981,249,0,0,666,1065,0,114,0,0,1260,0,853,733,0,803,0,0,0,0,0,0,0,0,0,0,0,0,12,94,0,0,0,0,0,0,166,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,858,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,9,52,40,22,15,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,938
"68d79c3035521e82b504b081a197d2ed",290,277,496,187,831,0,47,685,876,0,0,0,1453,124,0,0,0,0,418,623,1130,0,0,0,0,0,0,115,1483,0,0,0,0,0,12,0,160,0,0,0,41,114,0,0,38,0,159,0,0,0,140,244,0,0,225,0,75,0,497,499,268,0,0,2298,0,270,0,0,0,0,140,0,54,0,777,374,0,137,0,0,0,0,30,0,163,72,6,0,0,71,56,0,0,0,0,0,50,49,26,42,0,119,63,16,0,218,0,140,17,0,0,762,296,0,0,51,0,62,0,15,0,29,381,189,0,0,23,0,0,0,89,0,182,0,0,760,84,0,0,0,56,0,23,295,108,31,0,0,0,0,50,0,0,178,0,0,0,210,0,1630,0,0,0,38,0,0,0,0,0,0,141,17,0,0,0,37,0,39,0,376,0,178,0,0,0,0,0,113,42,45,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
