"","GO-Pt1-Baseline","GO-Pt1-C1D1","GO-Pt1-C1D3","GO-Pt1-C1D7","GO-Pt1-C2D1","GO-Pt1-C3D1","GO-Pt1-Final","GO-Pt11-Baseline","GO-Pt11-C1D3","GO-Pt11-C1D7","GO-Pt11-C2D1","GO-Pt12-Baseline","GO-Pt12-C1D1","GO-Pt12-C1D3","GO-Pt12-C1D7","GO-Pt12-C2D1","GO-Pt12-C3D1","GO-Pt13-Baseline","GO-Pt13-C1D1","GO-Pt13-C1D3","GO-Pt13-C1D7","GO-Pt13-C2D1","GO-Pt13-C3D1","GO-Pt14-Baseline","GO-Pt14-C1D1","GO-Pt14-C1D3","GO-Pt14-C2D1","GO-Pt14-C3D1","GO-Pt14-Final","GO-Pt15-Baseline","GO-Pt15-C1D1","GO-Pt15-C1D3","GO-Pt15-C1D7","GO-Pt15-C2D1","GO-Pt17-Baseline","GO-Pt17-C1D1","GO-Pt17-C1D7","GO-Pt17-C2D1","GO-Pt17-C3D1","GO-Pt17-Final","GO-Pt18-Baseline","GO-Pt18-C1D1","GO-Pt18-C1D3","GO-Pt18-C1D7","GO-Pt18-C2D1","GO-Pt18-C3D1","GO-Pt19-Baseline","GO-Pt19-C1D3","GO-Pt19-C1D7","GO-Pt19-C2D1","GO-Pt19-C3D1","GO-Pt2-Baseline","GO-Pt2-C1D1","GO-Pt2-C1D3","GO-Pt2-C1D7","GO-Pt2-C2D1","GO-Pt2-C3D1","GO-Pt20-Baseline","GO-Pt20-C1D1","GO-Pt20-C1D3","GO-Pt20-C1D7","GO-Pt20-C2D1","GO-Pt20-C3D1","GO-Pt21-Baseline","GO-Pt21-C1D1","GO-Pt21-C1D3","GO-Pt21-C1D7","GO-Pt22-Baseline","GO-Pt22-C1D1","GO-Pt22-C1D3","GO-Pt22-C1D7","GO-Pt22-C2D1","GO-Pt23-Baseline","GO-Pt23-C1D1","GO-Pt23-C1D3","GO-Pt23-C1D7","GO-Pt23-C2D1","GO-Pt23-C3D1","GO-Pt24-Baseline","GO-Pt24-C1D1","GO-Pt25-Baseline","GO-Pt25-C1D1","GO-Pt25-C1D3","GO-Pt25-C2D1","GO-Pt25-C3D1","GO-Pt25-Final","GO-Pt29-Baseline","GO-Pt29-C1D1","GO-Pt29-C1D3","GO-Pt29-C2D1","GO-Pt29-C3D1","GO-Pt30-Baseline","GO-Pt30-C1D1","GO-Pt30-C1D3","GO-Pt30-C3D1","GO-Pt31-Baseline","GO-Pt31-C1D1","GO-Pt31-C1D3","GO-Pt31-C1D7","GO-Pt31-C2D1","GO-Pt31-C3D1","GO-Pt31-Final","GO-Pt32-Baseline","GO-Pt32-C1D1","GO-Pt32-C1D3","GO-Pt32-C1D7","GO-Pt32-C2D1","GO-Pt33-Baseline","GO-Pt33-C1D1","GO-Pt33-C1D3","GO-Pt33-C1D7","GO-Pt33-C2D1","GO-Pt33-Final","GO-Pt34-Baseline","GO-Pt34-C1D1","GO-Pt34-C1D3","GO-Pt35-Baseline","GO-Pt35-C1D1","GO-Pt35-C1D3","GO-Pt35-C1D7","GO-Pt35-C2D1","GO-Pt35-C3D1","GO-Pt35-Final","GO-Pt38-Baseline","GO-Pt38-C1D1","GO-Pt38-C1D3","GO-Pt38-C1D7","GO-Pt38-C2D1","GO-Pt38-C3D1","GO-Pt38-Final","GO-Pt39-Baseline","GO-Pt4-Baseline","GO-Pt4-C1D1","GO-Pt4-C1D3","GO-Pt4-C2D1","GO-Pt4-C3D1","GO-Pt40-Baseline","GO-Pt40-C1D3","GO-Pt40-C1D7","GO-Pt42-Baseline","GO-Pt42-C1D1","GO-Pt42-C1D3","GO-Pt42-C1D7","GO-Pt42-C2D1","GO-Pt42-C3D1","GO-Pt42-Final","GO-Pt43-Baseline","GO-Pt43-C1D1","GO-Pt43-C1D3","GO-Pt43-C1D7","GO-Pt43-C2D1","GO-Pt43-C3D1","GO-Pt43-Final","GO-Pt44-Baseline","GO-Pt44-C1D1","GO-Pt44-C1D3","GO-Pt44-C1D7","GO-Pt44-C2D1","GO-Pt45-Baseline","GO-Pt45-C1D1","GO-Pt45-C1D3","GO-Pt45-C1D7","GO-Pt45-C2D1","GO-Pt45-C3D1","GO-Pt45-Final","GO-Pt47-Baseline","GO-Pt47-C1D1","GO-Pt47-C1D3","GO-Pt47-C1D7","GO-Pt47-C2D1","GO-Pt50-Baseline","GO-Pt50-C1D1","GO-Pt50-C1D3","GO-Pt50-C1D7","GO-Pt50-C2D1","GO-Pt50-C3D1","GO-Pt50-Final","GO-Pt51-Baseline","GO-Pt51-C1D1","GO-Pt51-C1D3","GO-Pt51-C1D7","GO-Pt51-C2D1","GO-Pt51-C3D1","GO-Pt51-Final","GO-Pt52-Baseline","GO-Pt52-C1D1","GO-Pt52-C1D3","GO-Pt52-C1D7","GO-Pt52-C2D1","GO-Pt52-C3D1","GO-Pt52-Final","GO-Pt53-Baseline","GO-Pt53-C1D1","GO-Pt53-C1D3","GO-Pt53-C1D7","GO-Pt53-C2D1","GO-Pt54-Baseline","GO-Pt54-C1D1","GO-Pt54-C1D3","GO-Pt54-C1D7","GO-Pt54-C3D1","GO-Pt54-Final","GO-Pt6-C1D1","GO-Pt6-C1D3","GO-Pt6-C1D7","GO-Pt6-C2D1","GO-Pt6-C3D1","GO-Pt7-Baseline","GO-Pt7-C1D1","GO-Pt7-C1D3","GO-Pt7-C1D7","GO-Pt7-C2D1","GO-Pt9b-Baseline","GO-Pt9b-C1D1","GO-Pt9b-C1D3","GO-Pt9b-C2D1","GO-Pt9b-C3D1","GO-Pt9c-C1D3"
"d__Archaea;  p__Euryarchaeota;  c__Methanobacteria;  o__Methanobacteriales;  f__Methanobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,1123,4043,767,499,1721,15,52,0,428,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,312,2392,132,736,864,381,164,53,93,209,199,95,572,0,0,0,0,0,15,561,907,522,282,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,21,1000,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,521,354,126,198,19,17,36,5,0,0,0,0,0,0,0,0,191,338,982,384,817,560,541,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,223,340,201,41,155
"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Barnesiellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,224,827,589,80,0,0,0,0,0,5,0,0,0,51,0,1625,0,0,0,0,0,0,184,5854,1070,1265,1330,884,0,0,0,0,0,0,0,0,0,70,176,21,234,180,48,0,0,68,491,615,199,575,53,201,52,24,19,34,0,0,0,0,7,49,218,292,90,55,928,61,326,297,160,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,82,453,353,63,192,0,0,0,0,0,0,33,332,26,33,5,10,0,6,3,29,0,0,0,0,0,0,0,513,83,81,16,367,58,7,56,41,91,139,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,1839,1045,874,1004,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Dysgonomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,16,11,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Marinifilaceae",0,0,0,0,0,0,0,0,0,0,0,59,147,121,192,174,10,1082,2065,2058,2282,849,613,276,449,326,412,213,136,0,0,0,0,0,106,48,207,290,24,0,0,0,0,0,0,0,0,0,21,257,215,0,0,0,0,0,0,29,1028,205,253,247,141,0,0,0,0,0,0,0,0,0,39,45,15,44,95,45,39,62,2,152,116,95,173,25,432,131,279,67,888,353,71,23,150,0,41,114,293,139,42,691,52,142,126,41,28,0,0,0,44,763,0,0,0,0,0,0,0,0,0,0,0,214,879,308,116,120,50,53,0,497,357,23,186,357,55,149,51,219,21,158,30,115,0,112,129,51,83,172,39,288,74,326,161,95,64,98,67,12,164,137,66,284,109,0,0,0,0,0,506,207,343,358,669,792,423,9,21,5,13,0,58,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,25,81,44,99,73,3,0,0,117,0,138,489,334,186,255,238
"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Muribaculaceae",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2265,3861,2099,1349,304,471,0,0,0,0,0,0,0,0,0,0,0,20,47,20,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,23,124,56,32,0,0,0,7,0,0,128,9,0,3,16,81,329,627,406,215,1171,925,3692,2452,1264,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327,2010,1761,1422,1848,1114
"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Porphyromonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,4,0,20,3,360,7406,7077,4356,197,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3988,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,0,17,10,46,14,0,0
"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Prevotellaceae",0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,28,21,6,0,70,32,2714,1039,859,404,173,2741,1375,4095,3499,293,28,2,0,10,16,5,0,6595,10781,8612,16562,5087,11920,20145,64,499,23,30832,0,8,0,3,0,0,6603,4223,182,0,0,3,0,0,16,415,138,77,256,1199,324,0,3,195,982,59,251,40,46,775,257,486,146,99,4,13,0,0,5304,7875,4979,1518,5794,708,6118,43,537,380,1182,64,0,48,24,3,0,0,0,0,0,52,0,0,0,2,0,0,36,18,11,0,6,0,0,0,6,40,0,0,0,457,103,25,5083,7794,4320,5740,3520,12478,8741,0,0,0,0,0,8,0,11,1131,327,1116,7217,1980,1283,508,4399,3975,8302,2394,0,0,0,0,0,3,43,8,0,94,3,0,0,0,0,7,0,0,0,7,0,106,0,0,0,0,15,323,2090,0,0,0,0,0,0,0,0,1890,775,1613,505,4322,17,34,0,9,0,0,0,0,0,0,0
"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Rikenellaceae",837,121,508,5,542,118,193,3,0,0,0,584,591,719,875,773,232,1648,3393,2012,2216,1191,1053,1051,5306,2816,5039,1487,898,4146,7228,5701,2939,2565,308,178,472,645,43,0,0,0,0,0,0,4,0,0,142,1047,2727,0,0,0,0,0,13,274,4576,1198,1325,864,1690,0,0,0,0,1032,1374,655,42,727,159,391,65,218,660,582,778,1074,229,998,1357,905,926,20,748,165,498,75,1325,807,62,58,237,5,49,276,713,344,70,767,34,83,102,28,17,0,0,0,60,551,534,0,0,0,0,0,0,0,0,0,0,0,0,0,298,393,118,470,0,224,400,429,1183,1327,433,1659,661,342,14,135,23,79,5,22,475,140,293,504,123,316,49,1269,273,554,670,1988,118,20,261,163,196,325,159,0,0,0,0,0,469,249,367,278,513,514,258,14,45,24,23,0,44,3,0,0,0,0,0,0,0,0,0,0,0,106,4,2,20,8,0,0,122,1169,476,1444,227,0,3,0,342,48,795,1193,1117,1723,1144,1017
"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Tannerellaceae",2678,156,5556,2617,4422,265,299,0,0,0,0,291,373,701,1015,736,96,3,0,0,0,6,0,1773,2577,1855,2279,1354,1399,2696,5651,3381,1911,1653,825,555,1778,1430,108,123,0,0,0,0,0,0,0,0,122,0,968,278,1281,0,45,233,3322,153,5072,821,1306,1098,719,0,0,0,0,2682,2521,2261,955,866,501,396,105,901,773,1300,179,384,40,301,565,63,322,125,323,124,461,172,521,95,52,14,30,24,130,540,714,559,148,592,44,263,430,427,42,1418,330,4590,3302,3385,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,2687,3082,204,1637,905,219,567,90,374,26,139,70,433,79,162,133,86,229,416,51,799,66,641,957,618,647,1443,175,61,698,636,317,758,271,0,0,0,0,0,197,199,313,107,364,207,76,442,469,204,112,9,244,133,0,0,0,0,0,0,0,5,0,0,0,166,85,39,129,273,7,2,535,1586,720,688,1094,0,0,0,55,8333,825,1637,1254,510,430,291
"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,154,60,12,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,6,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales; NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Flavobacteriales;  f__Flavobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,64,54,29,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,69,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,12,9,11,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,25,65,25,11
"d__Bacteria;  p__Campilobacterota;  c__Campylobacteria;  o__Campylobacterales;  f__Campylobacteraceae",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,82,0,0,0,18,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Cyanobacteria;  c__Cyanobacteriia;  o__Chloroplast;  f__Chloroplast",0,0,31,0,0,0,0,0,0,39,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,0,0,0,0,0,0,21,0,35,25,0,0,0,0,0,37,0,30,2,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,6,2,0,0,0,0,0,0,0,3,19,0,18,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,4,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,4
"d__Bacteria;  p__Cyanobacteria;  c__Vampirivibrionia;  o__Gastranaerophilales;  f__Gastranaerophilales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,64,8,89,131,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,273,4186,201,24,61,139,0,0,0,0,0,0,0,0,0,42,6,45,147,162,59,4,6,5,14,30,10,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,39,73,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,12,0,0,74,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,575,120,109,256,463
"d__Bacteria;  p__Desulfobacterota;  c__Desulfovibrionia;  o__Desulfovibrionales;  f__Desulfovibrionaceae",202,33,525,7,443,14,0,0,0,0,0,0,0,0,0,0,0,141,327,221,174,177,89,326,229,77,150,34,59,449,542,621,262,60,122,119,227,270,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,208,112,97,44,55,0,0,0,3,174,158,147,150,413,39,59,8,34,74,61,8,29,3,39,46,33,29,14,52,64,4,25,85,100,35,7,83,9,33,120,159,80,46,326,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,116,44,53,109,18,79,0,150,424,67,122,104,15,95,19,167,24,40,24,163,6,101,204,81,72,129,40,216,277,224,320,190,69,192,30,32,104,108,91,160,64,0,0,0,0,0,27,31,30,27,114,56,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,28,27,29,4,5,67,298,165,234,168,25,74,26,817,2947,86,213,159,38,37,28
"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Erysipelotrichales;  f__Erysipelatoclostridiaceae",920,523,1081,367,822,28,261,597,2234,1780,345,1814,809,794,1320,1268,2487,991,1523,804,915,790,687,484,677,452,523,520,259,234,241,494,120,236,2497,2407,3666,3578,463,211,330,597,1056,141,420,396,226,481,792,303,114,607,214,3,9,430,437,46,800,137,148,136,117,983,627,543,343,511,490,156,256,327,1613,1010,336,1106,978,1806,541,2394,28,284,321,462,637,101,136,80,146,190,192,591,541,756,4064,610,570,626,435,157,61,869,222,799,1080,227,119,2789,1477,3084,746,836,233,263,253,64,3715,1657,1116,1222,969,2273,1976,293,585,410,324,143,128,464,25,1122,2689,138,901,1122,227,1187,58,4827,2945,2344,2123,2141,2647,4396,1527,1267,714,1574,185,613,4001,422,112,100,280,164,583,161,533,720,209,732,799,1137,1840,2163,1299,1437,184,338,606,262,2192,367,309,448,581,388,567,82,296,1065,591,588,523,547,444,208,464,1133,2358,637,1596,108,22,48,27,10,300,262,1092,556,397,296,530,1044,927,1047,843,3182,302,302,194,201,652,813
"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Erysipelotrichales;  f__Erysipelotrichaceae",2203,1603,3681,3923,2602,135,1496,363,509,391,39,30,31,50,183,195,648,360,1073,746,1081,381,226,3835,1222,1155,983,787,775,1171,3065,963,838,2730,11,27,19,30,0,0,1552,2309,6159,1679,2198,1193,71,129,147,228,69,984,917,280,2711,244,567,67,666,95,151,66,84,118,61,87,176,432,409,267,333,887,14,12,0,17,0,22,140,379,426,2126,2387,1061,2070,582,584,482,156,255,403,201,71,66,214,1989,1301,4264,3330,1955,652,2476,67,252,314,1310,23,3574,479,1624,620,1188,446,893,648,1007,3198,2538,2598,1248,334,517,1548,110,202,219,189,118,171,193,404,116,245,50,44,66,324,2445,1093,1505,1050,1260,1445,1293,775,753,21,15,42,32,23,56,12,1156,1017,516,647,1150,1839,464,2916,2036,563,2123,2226,107,773,2182,783,1355,309,405,621,373,957,1013,626,10,26,33,26,0,37,0,1264,1374,1948,2559,337,228,2006,375,644,232,480,16,137,35,94,95,377,46,65,41,122,77,21,1593,2223,1265,1657,1064,20,48,63,21,33,17
"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Izemoplasmatales;  f__Izemoplasmatales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,28,8,0,8,23,0,0,0,0,0,6,283,605,147,120,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,6,4,11,49,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12
"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Aerococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Carnobacteriaceae",0,0,4,0,0,0,0,19,45,31,0,0,8,7,14,24,26,9,19,5,0,0,0,0,6,8,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,34,94,31,30,15,13,7,13,18,0,123,0,23,0,0,0,0,0,0,0,37,0,0,0,19,0,6,9,0,0,0,7,5,7,0,0,0,0,0,0,11,6,0,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,9,0,16,0,11,0,13,5,0,25,0,0,7,0,0,0,4,0,5,0,0,3,14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,5,0,20,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
